L,U,V,t,β,δ,m,uS,ud,vpx,vpy,Qm,QuS,Qud,Qvpx,Qvpy,I,f,g,g0,ΔT,μ
30,4.0,2.0,1.0,100.0,0.1,0.00917658713462581,-0.7901244866142085,0.04528934506188793,1.9959264345943e-18,9.28628429766223e-19,0.966898074237979,0.21171318199812994,0.5026547090052624,0.01584563250285315,0.015845632502853,33,-4.536381114551262,0.2,0.2,0.577236328,0.7502284748696219
30,4.5,1.0,1.0,100.0,0.1,0.05745714325444849,-0.7853335672963269,0.0003446204325996117,-5.722636031517906e-18,-6.034808948132283e-18,0.9795354623058167,0.26252010931568925,0.11759194672045052,0.005192296858534683,0.005192296858534225,38,-3.1931078396886607,0.2,0.2,0.673027061,0.6229158064004683
30,4.5,1.2,1.0,100.0,0.1,0.03825356758800372,-0.7885393198084034,0.00032528635447098657,-2.7068514536160746e-18,-3.586425854583138e-18,0.985089730592173,0.16386748979768662,0.10105672850620633,0.0017014118346042363,0.0017014118346041355,43,-3.448038769812929,0.2,0.2,0.763720152,0.6196228231537659
30,4.5,1.4,1.0,100.0,0.1,0.027326612832099396,-0.7897761838460277,0.0005963623719402053,-3.3293812933857044e-18,-4.174228233393449e-18,0.9944945771907326,0.12816167948870305,0.17634605466716397,0.0017014118346048016,0.001701411834604405,43,-3.711992473337753,0.2,0.2,0.752593813,0.6371955988690009
30,4.5,1.6,1.0,100.0,0.1,0.02041175344171172,-0.7903425220478228,0.0014315398808760992,-3.0683018883219125e-18,-4.568588015118248e-18,0.9741237506832645,0.10870288567312869,0.39768531919323835,0.0021267647932561675,0.0021267647932555773,42,-3.9792090300196294,0.2,0.2,0.741076842,0.6625600578240338
30,4.5,1.8,1.0,100.0,0.1,0.016366277842444897,-0.7905710079246603,0.00615623025086388,-9.354081275004496e-19,-5.752727159831702e-18,0.97142231610872,0.11595008341300783,0.9950510497730637,0.0033230699894626348,0.0033230699894623286,40,-4.250204479280224,0.2,0.2,0.706462341,0.6956986698677169
30,4.5,2.0,1.0,100.0,0.1,0.013587088501941793,-0.7901066675316533,0.038515002531508594,2.703187903870406e-18,-3.697594826338608e-19,0.9698518580767864,0.1343750695201429,0.9305526822191712,0.00519229685853506,0.005192296858535082,38,-4.534853759997012,0.2,0.2,0.668994447,0.7506718546363815
30,5.0,1.0,1.0,100.0,0.1,0.10293569685369491,-0.7720927953852582,0.001629140795123733,-7.839436514546777e-18,-1.0960324396289244e-17,0.733027141242909,0.9607431471468475,0.5472913760437421,0.07555786372591504,0.07555786372591457,26,-3.2508092049889497,0.2,0.2,0.458045548,0.7683395895306756
30,5.0,1.2,1.0,100.0,0.1,0.08131554133031724,-0.7794324270431595,0.001335095757151456,-4.9234179596089535e-18,-7.433565445859992e-18,0.9763100558233512,0.4838830860354637,0.3716805309174393,0.019807040628565944,0.019807040628565267,32,-3.4868579172708047,0.2,0.2,0.563462434,0.7274910627856547
30,5.0,1.4,1.0,100.0,0.1,0.05695494846941487,-0.7854416952718426,0.0007704299458286772,-6.892654706981726e-18,-7.761911179015622e-18,0.9845069504337806,0.24034787845415018,0.20319239010659237,0.0026584559915702076,0.0026584559915693875,41,-3.7300085192272863,0.2,0.2,0.716397485,0.692003433139058
30,5.0,1.6,1.0,100.0,0.1,0.039304931219285806,-0.7884045152678524,0.0008672855767088935,-3.0835819334870328e-18,-7.248438875690576e-18,0.9865508909302961,0.16337985836398783,0.2320548570766372,0.0010889035741469422,0.0010889035741467577,45,-3.986760740146475,0.2,0.2,0.789621291,0.688123758758335
30,5.0,1.8,1.0,100.0,0.1,0.028593338924005687,-0.7896546707483887,0.0022205164343284305,-1.660085763489437e-18,-4.806225344906389e-18,0.9876507540442003,0.12965704210465834,0.539269843753105,0.0010889035741470676,0.0010889035741464257,45,-4.2515222054825825,0.2,0.2,0.796380338,0.7050527311940739
30,5.0,2.0,1.0,100.0,0.1,0.017905043621058978,-0.7904716180087301,0.007730220756145895,1.4506614874770843e-19,-5.887394632456687e-18,0.7940873152458748,0.0780135155565409,0.9752945906291243,0.00044601490397076034,0.0004460149039706321,49,-4.521002095563948,0.2,0.2,0.859538867,0.7309297834192753
30,5.5,1.0,1.0,100.0,0.1,0.13719766187139476,-0.7561370651925987,0.0016325297513842484,-7.77002077021773e-18,-1.1106717520755227e-17,0.07515337917526344,0.8763246590166363,0.5905897896745068,0.09444732965739397,0.0944473296573933,25,-3.3212171250777187,0.2,0.2,0.446694037,0.9360271719598879
30,5.5,1.2,1.0,100.0,0.1,0.11954077123610907,-0.7650651942009418,0.0025179685212644055,-5.312643579946362e-18,-1.4811633233338144e-17,0.5353349817221742,0.9247713110790423,0.713786796665259,0.07555786372591503,0.07555786372591453,26,-3.5477575279435327,0.2,0.2,0.4516863,0.8897984234185089
