L,U,V,t,β,δ,m,uS,vS,Qm,QuS,QvS,Converged,I,f,g,g0,ΔT,μ
128,0.0,4.0,1.0,100.0,0.0,0.0,0.374999999999994,NaN,3.155443620884047e-28,7.438494264988549e-12,407.6976479924322,false,100,NaN,0.5,0.5,1.37801981,0.0
128,0.5,0.0,1.0,100.0,0.0,0.0012379093145031767,0.40523042402125686,0.0,0.8967438423698746,0.00035243725182709795,5.9604644775390625e-6,true,26,-1.621228508634671,0.5,0.5,0.367094711,0.0
128,0.5,0.1,1.0,100.0,0.0,0.0014165276084284577,0.40522969562929245,-3.657958511605789e-11,0.975455337481005,0.0004315098548479668,3.61075073275306e-6,true,26,-1.604807299092965,0.5,0.5,1.179134464,0.0
128,0.5,0.2,1.0,100.0,0.0,0.00142656985481139,0.4052289671343996,-2.055402045765423e-11,0.9305288570898291,0.0004032916187668434,1.0144398618621172e-6,true,27,-1.5883862060019094,0.5,0.5,0.280686195,0.0
128,0.5,0.3,1.0,100.0,0.0,0.0014591396546352444,0.40522817711147624,-7.97315849156732e-12,0.8982210132888048,0.0003910481450875025,2.623430181070753e-7,true,28,-1.5719651666548846,0.5,0.5,0.366032247,0.0
128,0.5,0.4,1.0,100.0,0.0,0.0017083137372232876,0.40522724741770433,-5.502197385192342e-12,0.9886475836665236,0.0004996899751752437,1.3578054524206307e-7,true,28,-1.5555441161303984,0.5,0.5,0.341461196,0.0
128,0.5,0.5,1.0,100.0,0.0,0.0017942830921096847,0.4052263071650996,-1.506347572598143e-12,0.9712217960775749,0.0005098967795769127,2.973839836108449e-8,true,29,-1.5391231974318025,0.5,0.5,0.704709812,0.0
128,0.5,0.6,1.0,100.0,0.0,0.0019173257101075436,0.4052252756050009,-3.541335629906067e-13,0.9653351018305938,0.0005369966974422269,5.826118833730511e-9,true,30,-1.5227023433212672,0.5,0.5,0.500199408,0.0
128,0.5,0.7,1.0,100.0,0.0,0.0020857118324310395,0.40522413706873217,-7.143133899082871e-14,0.9705035870241846,0.0005832232107261248,1.007292222424485e-9,true,31,-1.5062815572880552,0.5,0.5,0.544171991,0.0
128,0.5,0.8,1.0,100.0,0.0,0.0023111188201336464,0.40522286995557255,-1.225901245757442e-14,0.986361107599084,0.0006528877702915992,1.5126261333263748e-10,true,32,-1.4898608420248591,0.5,0.5,0.353337479,0.0
128,0.5,0.9,1.0,100.0,0.0,0.0023981937087359396,0.4052215723895273,-6.857177657667632e-16,0.9296683133855682,0.0006346400307499778,7.520909935104075e-12,true,34,-1.4734402849870905,0.5,0.5,0.377445359,0.0
128,0.5,1.0,1.0,100.0,0.0,0.0027821954850551084,0.40521996943352845,-7.799161830420496e-17,0.9695168133882692,0.0007642077641811795,7.698695926924068e-13,true,35,-1.4570197233053181,0.5,0.5,1.142212671,0.0
128,0.5,1.1,1.0,100.0,0.0,0.0030723275125311804,0.4052182744473951,-2.5280209105892236e-18,0.9484863558335832,0.0008215658428012418,2.2686058274902818e-14,true,37,-1.4405993264974306,0.5,0.5,0.45756197,0.0
128,0.5,1.2,1.0,100.0,0.0,0.003516652757827551,0.4052162821840949,-5.740088169587571e-20,0.9450932219341873,0.0009330961553422057,4.721832125028018e-16,true,39,-1.424179010793539,0.5,0.5,0.431198081,0.0
128,0.5,1.3,1.0,100.0,0.0,0.004172300682595343,0.40521385690768985,-8.612820470968011e-22,0.9541842952986573,0.0011140881890359111,6.540002324253093e-18,true,41,-1.4077587744131985,0.5,0.5,0.407310706,0.0
128,0.5,1.4,1.0,100.0,0.0,0.005125761874607768,0.4052107468667254,-7.927632470919514e-24,0.9678701041150005,0.00138582622444261,5.589780046508046e-20,true,43,-1.391338613904853,0.5,0.5,0.408193475,0.0
128,0.5,1.5,1.0,100.0,0.0,0.0065025640805869344,0.40520647148312117,-4.0643514057330195e-26,0.9730058399799562,0.0017684737187995125,2.6747543205114295e-22,true,45,-1.3749185356201994,0.5,0.5,0.422591864,0.0
128,0.5,1.6,1.0,100.0,0.0,0.008701230301099701,0.405199581385305,-3.9252739008242024e-28,0.9809399643403091,0.0024004350220874215,2.4218174512609045e-24,true,46,-1.358498489802731,0.5,0.5,0.444347585,0.0
128,0.5,1.7,1.0,100.0,0.0,0.012112948661269007,0.40518712635735166,-3.331197879089794e-29,0.9811232482931469,0.0033997324573320498,1.934445462847862e-25,true,45,-1.342078597942392,0.5,0.5,1.617065099,0.0
128,0.5,1.8,1.0,100.0,0.0,0.01694549778165213,0.4051640663975731,-1.8307820979143302e-28,0.9893547663489196,0.004967479533712904,1.0041398272501928e-24,true,41,-1.3256594070476377,0.5,0.5,0.49954689,0.0
128,0.5,1.9,1.0,100.0,0.0,0.022475891847692858,0.4051279157451434,-6.226468287077601e-27,0.9928899979699396,0.006958189361361278,3.23561944365641e-23,true,36,-1.3092422457821191,0.5,0.5,0.405399785,0.0
128,0.5,2.0,1.0,100.0,0.0,0.02801467148961672,0.40507945723355226,-5.452849599559551e-26,0.9544384085030944,0.008834410977542895,2.6922489346443595e-22,true,32,-1.2928285444306198,0.5,0.5,0.327257791,0.0
128,0.5,2.1,1.0,100.0,0.0,0.03368889756519093,0.4050155846810939,-5.861528384555811e-25,0.9343587978024731,0.011089758437110575,2.756654656217117e-21,true,28,-1.276419404203136,0.5,0.5,0.318181995,0.0
128,0.5,2.2,1.0,100.0,0.0,0.0394579652798801,0.40493405947730177,-7.636765803228677e-24,0.9352196405161411,0.013962638218290024,3.428986778850949e-20,true,24,-1.2600161224786823,0.5,0.5,0.23606671,0.0
