L,U,V,t,β,δ,m,uS,ud,vd,Qm,QuS,Qud,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.0,2.8,1.0,100.0,0.0,0.0,0.38804378185530664,0.0,NaN,3.155443620884047e-28,0.0,5.043580737602702e-28,648.8206909196948,false,100,NaN,0.5,0.5,1.890550547,0.0
128,0.0,2.9,1.0,100.0,0.0,0.0,0.3859115496036948,3.469446951953614e-18,NaN,3.155443620884047e-28,0.0,1.7906822977830174e-15,670.5237734412201,false,100,NaN,0.5,0.5,2.029458299,0.0
128,0.0,3.0,1.0,100.0,0.0,0.0,0.38363842356914724,6.938893903907228e-18,NaN,3.155443620884047e-28,0.0,1.1102230246248746e-14,691.4006645274918,false,100,NaN,0.5,0.5,1.404508256,0.0
128,0.0,3.1,1.0,100.0,0.0,0.0,0.3812263278205988,3.469446951953614e-18,NaN,3.155443620884047e-28,1.1102230246251565e-13,1.397402382352891e-24,711.449033308126,false,100,NaN,0.5,0.5,1.191673643,0.0
128,0.0,3.2,1.0,100.0,0.0,0.0,0.378678202036221,3.469446951953614e-18,NaN,3.155443620884047e-28,0.0,4.625929278356813e-15,730.6692235376963,false,100,NaN,0.5,0.5,2.166170757,0.0
128,0.0,3.3,1.0,100.0,0.0,0.0,0.37599800177639475,2.42861286636753e-17,NaN,3.155443620884047e-28,0.0,7.216449659435926e-14,749.0642946595071,false,100,NaN,0.5,0.5,1.634837417,0.0
128,0.0,3.4,1.0,100.0,0.0,0.0,0.3731906761007219,-6.938893903907228e-18,NaN,3.155443620884047e-28,0.0,1.8503706654043594e-14,766.6400621483327,false,100,NaN,0.5,0.5,1.370386693,0.0
128,0.0,3.5,1.0,100.0,0.0,0.0,0.37026212142646764,3.469446951953614e-18,NaN,3.155443620884047e-28,0.0,3.483344107367486e-19,783.4051178367844,false,100,NaN,0.5,0.5,2.7773606,0.0
128,0.0,3.6,1.0,100.0,0.0,0.0,0.3672191118600602,0.0,NaN,3.155443620884047e-28,0.0,5.302407267876711e-19,799.3708151620771,false,100,NaN,0.5,0.5,1.278700578,0.0
128,0.0,3.7,1.0,100.0,0.0,0.0,0.364069207620332,3.469446951953614e-18,NaN,3.155443620884047e-28,0.0,1.4320870913862113e-14,814.5512088549183,false,100,NaN,0.5,0.5,2.007085894,0.0
