L,U,V,t,β,δ,m,uS,Qm,QuS,Converged,I,f,g,g0,ΔT,μ,Layer
128,0.05,1.1,1.0,100.0,0.0,1.9036249848090458e-5,0.40521946169434986,0.40104843707753013,0.5959584049854971,true,11,-1.440599955052716,0.5,0.5,0.090675229,0.0,5
128,0.05,1.15,1.0,100.0,0.0,1.931500093049887e-5,0.40521867620016283,0.4030225780536921,0.5959386949307977,true,11,-1.4323898307671252,0.5,0.5,0.097166123,0.0,5
128,0.05,1.2,1.0,100.0,0.0,1.9602711945661943e-5,0.40521785454122994,0.4050466961472962,0.5959175943344164,true,11,-1.4241797390856032,0.5,0.5,0.097271996,0.0,5
128,0.05,1.25,1.0,100.0,0.0,1.9899805278019682e-5,0.40521699455645044,0.4071227419521737,0.5958949943740688,true,11,-1.4159696815205518,0.5,0.5,0.092504322,0.0,5
128,0.05,1.3,1.0,100.0,0.0,2.0206729503387266e-5,0.4052160939284071,0.4092527689250714,0.5958707766485771,true,11,-1.4077596596753736,0.5,0.5,0.09365108,0.0,5
128,0.05,1.35,1.0,100.0,0.0,2.0523961405046136e-5,0.405215150170259,0.41143894023406086,0.5958448122425075,true,11,-1.39954967525109,0.5,0.5,0.090128758,0.0,5
128,0.05,1.4,1.0,100.0,0.0,2.085200817575846e-5,0.40521416061138704,0.41368353616,0.5958169606851138,true,11,-1.3913397300535282,0.5,0.5,0.091717101,0.0,5
128,0.05,1.45,1.0,100.0,0.0,2.1191409825794924e-5,0.4052131223816582,0.4159889621037299,0.5957870687989253,true,11,-1.383129826001112,0.5,0.5,0.094632175,0.0,5
128,0.05,1.5,1.0,100.0,0.0,2.154274181952473e-5,0.4052120323941576,0.41835775725767144,0.5957549694176612,true,11,-1.3749199651333306,0.5,0.5,0.095758809,0.0,5
128,0.05,1.55,1.0,100.0,0.0,2.190661796597733e-5,0.40521088732622057,0.42079260400697194,0.5957204799632576,true,11,-1.3667101496199396,0.5,0.5,0.097040576,0.0,5
128,0.05,1.6,1.0,100.0,0.0,2.228369359199768e-5,0.4052096835985728,0.4232963381328879,0.5956834008603584,true,11,-1.3585003817709764,0.5,0.5,0.091708769,0.0,5
128,0.05,1.65,1.0,100.0,0.0,2.2674669030400948e-5,0.4052084173523648,0.4258719598993383,0.5956435137675076,true,11,-1.350290664047664,0.5,0.5,0.093284905,0.0,5
128,0.05,1.7,1.0,100.0,0.0,2.308029345973427e-5,0.40520708442385844,0.42852264611320456,0.5956005796066144,true,11,-1.3420809990743026,0.5,0.5,0.096095094,0.0,5
128,0.05,1.75,1.0,100.0,0.0,2.350136913721149e-5,0.4052056803164893,0.43125176325967024,0.5955543363562743,true,11,-1.3338713896512389,0.5,0.5,0.095016021,0.0,5
128,0.05,1.8,1.0,100.0,0.0,2.393875607201626e-5,0.40520420016999426,0.43406288182615477,0.595504496583521,true,11,-1.3256618387690364,0.5,0.5,0.09295103,0.0,5
128,0.05,1.85,1.0,100.0,0.0,2.4393377192718887e-5,0.4052026387262496,0.43695979194234996,0.5954507446765955,true,11,-1.3174523496239687,0.5,0.5,0.090574403,0.0,5
128,0.05,1.9,1.0,100.0,0.0,2.4866224070105043e-5,0.40520099029141554,0.43994652047979715,0.5953927337385423,true,11,-1.309242925634979,0.5,0.5,0.091767045,0.0,5
