L,U,V,t,β,δ,uS,wd,QuS,Qwd,Converged,I,f,g,g0,ΔT,μ
256,10.0,2.4,1.0,100.0,0.15,0.3366705220206915,0.2814446993544151,0.3465556442194817,0.8634981504218597,true,40,-1.692743344683758,0.2,0.2,125.174846986,0.6584385241405172
256,10.0,2.8,1.0,100.0,0.15,0.321630543713625,0.3041449492356744,0.39413976640434445,0.8321271731259738,true,38,-1.6914297524671587,0.2,0.2,118.392045452,0.6700665101506196
256,10.0,3.2,1.0,100.0,0.15,0.30658680039547825,0.32117332218385536,0.45318087745160884,0.8864295990146376,true,36,-1.6974034072935211,0.2,0.2,112.66599126,0.6796189442543302
256,10.0,3.6,1.0,100.0,0.15,0.2918473877674108,0.3342184412382909,0.43860424545183463,0.8359541929618963,true,35,-1.71017595281501,0.2,0.2,107.714009599,0.6881339208138659
256,10.0,4.0,1.0,100.0,0.15,0.2776371114897011,0.34436814484113176,0.42562494055597977,0.8375713533578244,true,34,-1.7290707064964006,0.2,0.2,105.733508086,0.6961419838004649
256,0.0,0.0,1.0,100.0,0.2,0.3593419491772771,0.0,0.8026244568820617,0.3094850098213456,true,30,-2.178890279813257,0.2,0.2,89.747861747,1.0591852450403874
256,0.0,0.4,1.0,100.0,0.2,0.3593401525102341,0.00034439181318215393,0.0868431045499829,0.9075495803397361,true,40,-2.0739717446823525,0.2,0.2,117.896528196,0.9830879615081558
256,0.0,0.8,1.0,100.0,0.2,0.35933146821765627,0.00549085677665599,0.0025610230446337923,0.9873279336595903,true,99,-1.9690950502274487,0.2,0.2,301.262356184,0.907052277413982
256,0.0,1.2,1.0,100.0,0.2,0.35713781736588646,0.08164781655559444,0.8109854321098897,0.30009038730527404,true,30,-1.880235520232803,0.2,0.2,90.547174916,0.8524707023664244
256,0.0,1.6,1.0,100.0,0.2,0.3480758000820385,0.16105974176752885,0.16678290622185177,0.9914544952111526,true,51,-1.8349404415652035,0.2,0.2,152.789251843,0.8499691405457857
256,0.0,2.0,1.0,100.0,0.2,0.33469926614511203,0.21588194564355478,0.2777964164015767,0.9554680587771092,true,46,-1.815779430761307,0.2,0.2,137.136976509,0.8683084590626229
256,0.0,2.4,1.0,100.0,0.2,0.31975772028533356,0.2531290216686237,0.3699439869708776,0.9208243991855047,true,42,-1.8090754451286326,0.2,0.2,124.731289377,0.8880733765849763
256,0.0,2.8,1.0,100.0,0.2,0.3043507243230639,0.27968608193725075,0.4501122137466895,0.9230519604825904,true,39,-1.8113868892701968,0.2,0.2,117.966359141,0.9061652838050702
256,0.0,3.2,1.0,100.0,0.2,0.2890363160248594,0.2993351037490751,0.487184200453461,0.8957514306617842,true,37,-1.8214985171829023,0.2,0.2,112.051947091,0.922800718951354
256,0.0,3.6,1.0,100.0,0.2,0.27415745913057293,0.3142597439996045,0.5448039643017877,0.9706155636568514,true,35,-1.8385194662826225,0.2,0.2,104.687390452,0.9384838855897695
256,0.0,4.0,1.0,100.0,0.2,0.25990441349935245,0.325843813869216,0.5186352959416496,0.9322784994336697,true,34,-1.861937135074973,0.2,0.2,102.608287401,0.9540311275000045
256,5.0,0.0,1.0,100.0,0.2,0.3593419491772771,0.0,0.8026244568820617,0.3094850098213456,true,30,-2.178890279813257,0.2,0.2,89.523960813,1.0591852450403874
256,5.0,0.4,1.0,100.0,0.2,0.3593401525102341,0.00034439181318215393,0.0868431045499829,0.9075495803397361,true,40,-2.0739717446823525,0.2,0.2,118.021671449,0.9830879615081558
256,5.0,0.8,1.0,100.0,0.2,0.35933146821765627,0.00549085677665599,0.0025610230446337923,0.9873279336595903,true,99,-1.9690950502274487,0.2,0.2,293.298563432,0.907052277413982
256,5.0,1.2,1.0,100.0,0.2,0.35713781736588646,0.08164781655559444,0.8109854321098897,0.30009038730527404,true,30,-1.880235520232803,0.2,0.2,90.34246589,0.8524707023664244
