L,U,V,t,β,δ,m,uS,ud,vx,vy,Qm,QuS,Qud,Qvx,Qvy,Converged,I,f,g,g0,ΔT,μ
128,0.5,2.5,1.0,100.0,0.0,1.7117709813385019e-9,NaN,NaN,-2.609857449348581e-19,NaN,1.4895474940380769e-6,0.3324486437492613,220.30288040450588,4.730535676310416e-16,311.5792734974213,false,100,NaN,0.5,0.5,1.88793195,0.0
128,0.5,2.6,1.0,100.0,0.0,2.1061364597530756e-10,NaN,NaN,1.572288256685438e-21,NaN,2.12859819274067e-7,0.49794161518623703,249.66876437898776,1.8125383644332901e-16,353.11210262563804,false,100,NaN,0.5,0.5,1.890691196,0.0
128,0.5,2.7,1.0,100.0,0.0,3.184504903906397e-11,NaN,NaN,-2.5868011903819603e-19,NaN,3.657652757887128e-8,0.7146589862707664,278.25582154260337,3.465987577368357e-16,393.5402320543124,false,100,NaN,0.5,0.5,1.943383813,0.0
128,0.5,2.8,1.0,100.0,0.0,5.7905123721315334e-12,NaN,NaN,-1.126566905559505e-19,NaN,7.4295931443755155e-9,0.9867137817510807,305.7388588965983,5.2491293333346225e-17,432.40893652121235,false,100,NaN,0.5,0.5,1.918108518,0.0
128,0.5,2.9,1.0,100.0,0.0,1.2384715549618314e-12,NaN,NaN,1.756940143111176e-19,NaN,1.7507751246641884e-9,1.3161906284183678,331.8883348587335,4.472248087597589e-17,469.39883121455057,false,100,NaN,0.5,0.5,1.897846241,0.0
128,0.5,3.0,1.0,100.0,0.0,3.0512287671144715e-13,NaN,NaN,4.71672869801914e-19,NaN,4.699625893209533e-10,1.7036355660697833,356.5674621209023,7.384612219469283e-16,504.3169330419521,false,100,NaN,0.5,0.5,1.908662861,0.0
128,0.5,3.1,1.0,100.0,0.0,8.496662555613019e-14,NaN,NaN,3.7868202454599166e-19,NaN,1.412948271416376e-10,2.1486691178869144,379.7199189365019,4.443999578416519e-16,537.0727753804912,false,100,NaN,0.5,0.5,1.877367661,0.0
128,0.5,3.2,1.0,100.0,0.0,2.6311863817874442e-14,NaN,NaN,8.041590231241279e-20,NaN,4.688582853935335e-11,2.6507349116768886,401.35370145749795,3.8031182522947897e-16,567.6523191265653,false,100,NaN,0.5,0.5,1.884753794,0.0
128,0.5,3.3,1.0,100.0,0.0,8.953360019674538e-15,NaN,NaN,-3.5329396338645746e-19,NaN,1.6983937158570272e-11,3.2092658155479237,421.51126981429377,9.299667287558638e-16,596.0984667985451,false,100,NaN,0.5,0.5,1.878722305,0.0
128,0.5,3.4,1.0,100.0,0.0,3.3200910986977733e-15,NaN,NaN,2.666257893047153e-19,NaN,6.664560965699839e-12,3.821909387319744,440.2242822567243,4.0956498884848606e-16,622.502487755956,false,100,NaN,0.5,0.5,1.869544253,0.0
128,0.5,3.5,1.0,100.0,0.0,1.326373166324275e-15,NaN,NaN,-5.75726107314873e-20,NaN,2.803656417835855e-12,4.482832924576741,457.51115937650553,2.0557762155350456e-16,646.9903860511276,false,100,NaN,0.5,0.5,1.881235645,0.0
128,0.5,3.6,1.0,100.0,0.0,5.602737766699689e-16,NaN,NaN,-2.1315557844334456e-19,NaN,1.2432751627975713e-12,5.189659035685024,473.48596955441,1.6944675437741866e-16,669.676299567948,false,100,NaN,0.5,0.5,1.871456243,0.0
128,0.5,3.7,1.0,100.0,0.0,2.48962043775961e-16,NaN,NaN,5.603853092629812e-19,NaN,5.782552660642564e-13,5.950464211482931,488.3559285278349,8.136336423834309e-16,690.6467675388133,false,100,NaN,0.5,0.5,1.874335699,0.0
128,0.5,3.8,1.0,100.0,0.0,1.1760444767899265e-16,NaN,NaN,-2.34589206628161e-19,NaN,2.8463743894615973e-13,6.761044950878592,502.12878202250187,5.18072295166183e-16,710.0522786768665,false,100,NaN,0.5,0.5,1.871711293,0.0
128,0.5,3.9,1.0,100.0,0.0,5.785184862700187e-17,NaN,NaN,4.512551534879126e-20,NaN,1.4559789977002433e-13,7.605988639274974,514.7757041111915,5.163735680201178e-16,728.057210265578,false,100,NaN,0.5,0.5,1.880688059,0.0
128,0.5,4.0,1.0,100.0,0.0,2.929467989977792e-17,NaN,NaN,3.5632939534953645e-19,NaN,7.657380438728267e-14,8.505303408776088,526.5897274325142,8.084291395749411e-16,744.7008872605618,false,100,NaN,0.5,0.5,1.869168611,0.0
128,1.0,0.0,1.0,100.0,0.0,0.060788141970432426,0.40451167085214423,-0.0,0.0,0.0,0.8735491693890735,0.029162989202191625,0.0007629394531331942,0.000762939453125,0.000762939453125,true,19,-1.621750399346752,0.5,0.5,0.354384837,0.0
128,1.0,0.1,1.0,100.0,0.0,0.0634667836953682,0.4044273860035511,-1.4940779526767534e-8,-1.4958765349923925e-8,-1.4931061850960443e-8,0.9387052927958828,0.03544614060069229,0.00037291663502365887,0.00037405766251566295,0.00037336490310156505,true,18,-1.6053883661905715,0.5,0.5,0.332239486,0.0
128,1.0,0.2,1.0,100.0,0.0,0.06625507583579651,0.40433376988896386,-1.3789588648033257e-8,-1.3901454157698378e-8,-1.3797061790695933e-8,0.9797678133655063,0.04359777525753117,0.00018515776685403985,0.00018689540362666735,0.00018549191732516402,true,17,-1.5890332667268958,0.5,0.5,0.313012979,0.0
128,1.0,0.3,1.0,100.0,0.0,0.06914826037554038,0.40423014435993976,-9.704390083187242e-9,-9.897220453278528e-9,-9.727206833258919e-9,0.9840730239418505,0.05532169372757245,9.296880695032557e-5,9.48965297691318e-5,9.326640406178247e-5,true,16,-1.572685957266489,0.5,0.5,0.305932786,0.0
128,1.0,0.4,1.0,100.0,0.0,0.07213780996430011,0.40411596132244665,-6.115932559003223e-9,-6.3463165049774396e-9,-6.148780268562864e-9,0.934256129231481,0.07432364154280613,4.681080597872819e-5,4.860143245687252e-5,4.7088657902145665e-5,true,15,-1.5563474016288623,0.5,0.5,0.279366465,0.0
128,1.0,0.5,1.0,100.0,0.0,0.07536908649073235,0.40398422846769544,-1.288939568966363e-8,-1.3691111187962677e-8,-1.3010511511560497e-8,0.973081451396518,0.19013060063999276,8.37777667988469e-5,8.902079524437024e-5,8.459547582495662e-5,true,13,-1.5400185876444017,0.5,0.5,0.245082198,0.0
