L,U,V,t,β,δ,m,uS,Qm,QuS,Converged,I,f,g,g0,ΔT,μ,Layer
128,0.0,6.6,1.0,100.0,0.0,0.0,0.29984387894015674,0.0,0.9872335789661291,true,13,-0.6156388396818943,0.03125,0.0625,0.088103376,0.0,5
128,0.0,6.7,1.0,100.0,0.0,0.0,0.2958035272209689,0.0,0.2571608293644445,true,667,-0.6066852547182374,0.0625,0.125,4.631403574,0.0,5
128,0.0,6.8,1.0,100.0,0.0,0.0,0.291166046230223,0.0,0.9943080367630364,true,22,-0.5981339220162072,0.03125,0.0625,0.153636955,0.0,5
128,0.0,6.9,1.0,100.0,0.0,0.0,0.2873060844711788,0.0,0.39011322066961895,true,475,-0.5896786349497974,0.0625,0.125,3.283763423,0.0,5
128,0.0,7.0,1.0,100.0,0.0,0.0,0.28344519845381666,0.0,0.020446418131148114,true,6,-0.5815143624365108,0.015625,0.03125,0.805583328,0.0,5
128,0.0,7.1,1.0,100.0,0.0,0.0,0.27940323950261214,0.0,0.24149755846636367,true,5,-0.5735978256668243,0.015625,0.03125,0.044731246,0.0,5
128,0.0,7.2,1.0,100.0,0.0,0.0,0.27579483108647046,0.0,0.20298813038921448,true,7,-0.5658901340455318,0.015625,0.03125,0.050931356,0.0,5
128,0.0,7.3,1.0,100.0,0.0,0.0,0.2720910347853517,0.0,0.24766514736762613,true,5,-0.5583952477899935,0.015625,0.03125,0.036572767,0.0,5
128,0.0,7.4,1.0,100.0,0.0,0.0,0.268149062565797,0.0,0.38819629354913676,true,645,-0.5511093563558292,0.0625,0.125,4.495580613,0.0,5
128,0.0,7.5,1.0,100.0,0.0,0.0,0.2646205404127495,0.0,0.3769242288993446,true,7,-0.5440035028633807,0.015625,0.03125,0.051491954,0.0,5
128,0.0,7.6,1.0,100.0,0.0,0.0,0.2608984805687766,0.0,0.9407174031853538,true,7,-0.5371893318941976,0.015625,0.03125,0.051055823,0.0,5
128,0.0,7.7,1.0,100.0,0.0,0.0,0.2579596082560691,0.0,0.09664480884197246,true,297,-0.5303199815786477,0.125,0.25,2.210179751,0.0,5
128,0.0,7.8,1.0,100.0,0.0,0.0,0.2543600009392615,0.0,0.759189420409534,true,9,-0.523840066116137,0.015625,0.03125,0.063946017,0.0,5
128,0.0,7.9,1.0,100.0,0.0,0.0,0.2519158629124502,0.0,0.7499515990448957,true,267,-0.5174532204749969,0.03125,0.0625,1.849924548,0.0,5
128,0.0,8.0,1.0,100.0,0.0,0.0,0.24890307272666598,0.0,0.9512524704196612,true,508,-0.5112879330661386,0.03125,0.0625,3.514757913,0.0,5
128,0.1,0.0,1.0,100.0,0.0,5.61213434662968e-5,0.40523059273727835,0.6520650665923841,0.596284924158752,true,11,-1.6212287120007425,0.5,0.5,0.096579121,0.0,5
128,0.1,0.1,1.0,100.0,0.0,5.7701077978436556e-5,0.4052299194845501,0.6600590094887001,0.5962778730553842,true,11,-1.6048075556138635,0.5,0.5,0.095624055,0.0,5
128,0.1,0.2,1.0,100.0,0.0,5.937269439031874e-5,0.405229197128712,0.6684081949669969,0.596269666614968,true,11,-1.588386455792104,0.5,0.5,0.093748424,0.0,5
128,0.1,0.3,1.0,100.0,0.0,6.11439273118221e-5,0.40522842089585387,0.6771366708203189,0.5962601385556265,true,11,-1.5719654167109942,0.5,0.5,0.094640488,0.0,5
128,0.1,0.4,1.0,100.0,0.0,6.302336402478888e-5,0.40522758543179616,0.68627067249163,0.5962490963504763,true,11,-1.5555444429568661,0.5,0.5,0.089165774,0.0,5
128,0.1,0.5,1.0,100.0,0.0,6.502056109476811e-5,0.40522668471817014,0.6958388734512571,0.5962363166123197,true,11,-1.5391235395773455,0.5,0.5,0.100044836,0.0,5
128,0.1,0.6,1.0,100.0,0.0,6.71461801073634e-5,0.40522571197457047,0.7058726701931971,0.5962215395849402,true,11,-1.5227027121392203,0.5,0.5,0.095689545,0.0,5
128,0.1,0.7,1.0,100.0,0.0,6.941214620488628e-5,0.4052246595441821,0.7164065074777058,0.5962044625489327,true,11,-1.5062819667949192,0.5,0.5,0.091937228,0.0,5
128,0.1,0.8,1.0,100.0,0.0,7.183183391342145e-5,0.4052235187597506,0.727478250502382,0.5961847319111424,true,11,-1.4898613103590768,0.5,0.5,0.097676202,0.0,5
128,0.1,0.9,1.0,100.0,0.0,7.442028577025475e-5,0.4052222797860965,0.739129611963546,0.5961619336871671,true,11,-1.473440750396926,0.5,0.5,0.096088483,0.0,5
128,0.1,1.0,1.0,100.0,0.0,7.719447054549912e-5,0.4052209314345566,0.7514066435276101,0.5961355820183201,true,11,-1.4570202953266156,0.5,0.5,0.096128996,0.0,5
128,0.1,1.1,1.0,100.0,0.0,8.01735894766541e-5,0.40521946094371664,0.764360303136613,0.596105105280964,true,11,-1.44059995453796,0.5,0.5,0.090125487,0.0,5
128,0.1,1.2,1.0,100.0,0.0,8.337944100326116e-5,0.4052178537195217,0.7780471119096376,0.5960698292252209,true,11,-1.4241797385306323,0.5,0.5,0.101623894,0.0,5
128,0.1,1.3,1.0,100.0,0.0,8.683685713747769e-5,0.405216093026252,0.7925299172829076,0.596028956442729,true,11,-1.4077596590754555,0.5,0.5,0.10154689,0.0,5
128,0.1,1.4,1.0,100.0,0.0,9.057422801955417e-5,0.4052141596178266,0.8078787825980508,0.5959815412777125,true,11,-1.3913397294031946,0.5,0.5,0.091964023,0.0,5
128,0.1,1.5,1.0,100.0,0.0,9.462413563473098e-5,0.4052120312963158,0.8241720277828821,0.5959264590467139,true,11,-1.374919964426236,0.5,0.5,0.094815615,0.0,5
128,0.1,1.6,1.0,100.0,0.0,9.902412345156685e-5,0.40520968238124433,0.8414974513093708,0.5958623681252551,true,11,-1.3585003809997198,0.5,0.5,0.097237693,0.0,5
128,0.1,1.7,1.0,100.0,0.0,0.00010381763635241334,0.4052070830689908,0.859953770567208,0.5957876630334757,true,11,-1.3420809982302149,0.5,0.5,0.099599752,0.0,5
128,0.1,1.8,1.0,100.0,0.0,0.00010905517532005369,0.4052041986560313,0.8796523265616701,0.5957004160981327,true,11,-1.3256618378419052,0.5,0.5,0.092244201,0.0,5
128,0.1,1.9,1.0,100.0,0.0,0.00011479572484103762,0.40520098859246156,0.9007191099604004,0.5955983045182744,true,11,-1.3092429246127086,0.5,0.5,0.097696164,0.0,5
128,0.1,2.0,1.0,100.0,0.0,0.0001211085291916759,0.40519740532252885,0.9232971796725795,0.5954785186292888,true,11,-1.2928242868958395,0.5,0.5,0.098589407,0.0,5
128,0.1,2.1,1.0,100.0,0.0,0.00012807531855861653,0.40519339285590206,0.9475495632681882,0.5953376457724646,true,11,-1.2764059572463793,0.5,0.5,0.098504899,0.0,5
128,0.1,2.2,1.0,100.0,0.0,0.00013579312002504193,0.4051888849957769,0.9736627518583322,0.5951715221963472,true,11,-1.2599879731776673,0.5,0.5,0.098516458,0.0,5
128,0.1,2.3,1.0,100.0,0.0,8.835970987458312e-5,0.4051837593477503,0.6129617179524168,0.2973999653345105,true,12,-1.2435703790912263,0.5,0.5,0.104059917,0.0,5
128,0.1,2.4,1.0,100.0,0.0,9.46945005975677e-5,0.40517800159016015,0.6347292429620993,0.29726728936529945,true,12,-1.227153223473011,0.5,0.5,0.108416878,0.0,5
128,0.1,2.5,1.0,100.0,0.0,0.00010184809449160722,0.40517146183667563,0.6585134286892328,0.2971091878771759,true,12,-1.2107365659942655,0.5,0.5,0.106421015,0.0,5
128,0.1,2.6,1.0,100.0,0.0,0.00010997081901902245,0.4051640038793316,0.6845921887612769,0.2969200584798104,true,12,-1.194320475498829,0.5,0.5,0.109756895,0.0,5
128,0.1,2.7,1.0,100.0,0.0,0.00011924916110651535,0.4051554622592016,0.7132944233568482,0.29669284723987666,true,12,-1.1779050330359793,0.5,0.5,0.107971289,0.0,5
128,0.1,2.8,1.0,100.0,0.0,0.00012991668189770686,0.40514563453396335,0.7450117611432172,0.2964185974346778,true,12,-1.161490334536447,0.5,0.5,0.104633788,0.0,5
128,0.1,2.9,1.0,100.0,0.0,0.00014226895652198518,0.40513427100988725,0.7802135619555646,0.29608582796447624,true,12,-1.14507649421402,0.5,0.5,0.101616528,0.0,5
128,0.1,3.0,1.0,100.0,0.0,0.00015668431885750657,0.40512106091343936,0.8194662331154676,0.2956796640041226,true,12,-1.128663648937674,0.5,0.5,0.102365418,0.0,5
128,0.1,3.1,1.0,100.0,0.0,0.00017365312225274136,0.40510561347902047,0.863458290075661,0.295180601089462,true,12,-1.1122519639211645,0.5,0.5,0.105701835,0.0,5
128,0.1,3.2,1.0,100.0,0.0,0.00019381972796369933,0.405087431646438,0.9130331085658185,0.29456271712358095,true,12,-1.0958416402300593,0.5,0.5,0.104344643,0.0,5
128,0.1,3.3,1.0,100.0,0.0,0.0002180439084522768,0.4050658748083535,0.969232010350737,0.29379103724180844,true,12,-1.079432924840191,0.5,0.5,0.110623922,0.0,5
128,0.1,3.4,1.0,100.0,0.0,0.00016386885441720578,0.40503993683200734,0.6839229829851431,0.14607245216757825,true,13,-1.0630261266714187,0.5,0.5,0.118454145,0.0,5
128,0.1,3.5,1.0,100.0,0.0,0.00019003673113325283,0.4050087986964962,0.7409946815060655,0.14537003284353922,true,13,-1.0466216269372943,0.5,0.5,0.113094257,0.0,5
128,0.1,3.6,1.0,100.0,0.0,0.00022322011311979673,0.4049708092592632,0.8080764798841884,0.14446091029607366,true,13,-1.0302199184873664,0.5,0.5,0.116575291,0.0,5
128,0.1,3.7,1.0,100.0,0.0,0.00026610802656927915,0.4049238701414575,0.8877042167850185,0.14326595276892284,true,13,-1.0138216371652133,0.5,0.5,0.11851867,0.0,5
128,0.1,3.8,1.0,100.0,0.0,0.0003227735466122142,0.404865002962584,0.9832335412678105,0.1416671200069608,true,13,-0.9974276219781355,0.5,0.5,0.108659659,0.0,5
128,0.1,3.9,1.0,100.0,0.0,0.00028397444160206046,0.40478958934133213,0.7808118974891682,0.06919386826753637,true,14,-0.9810390088504649,0.5,0.5,0.124336056,0.0,5
128,0.1,4.0,1.0,100.0,0.0,0.00036753412281729,0.40469155694563375,0.8995464055311632,0.06749718145271366,true,14,-0.9646573551298496,0.5,0.5,0.126248027,0.0,5
128,0.1,4.1,1.0,100.0,0.0,0.00036455661660379627,0.40456027355874646,0.7793962253763631,0.0320693219488799,true,15,-0.9482848971845688,0.5,0.5,0.131562796,0.0,5
128,0.1,4.2,1.0,100.0,0.0,0.0005212979128427948,0.40437963549981737,0.949460282104748,0.03014661021760734,true,15,-0.9319249073306356,0.5,0.5,0.132349214,0.0,5
128,0.1,4.3,1.0,100.0,0.0,0.0006192632295734296,0.40412138023879185,0.9268038722135695,0.013291087455513662,true,16,-0.9155824207488433,0.5,0.5,0.142853215,0.0,5
128,0.1,4.4,1.0,100.0,0.0,0.0008506688340070565,0.4037363824000578,0.9905526846795014,0.005454054912368278,true,17,-0.8992654706286171,0.5,0.5,0.149047379,0.0,5
128,0.1,4.5,1.0,100.0,0.0,0.0012041183985508019,0.40313373996794594,0.995237008980002,0.0013018293578692663,true,19,-0.8829875508732218,0.5,0.5,0.16022581,0.0,5
128,0.1,4.6,1.0,100.0,0.0,0.0019665044393138813,0.40214357897894115,0.9607291293486043,0.0008881818293060562,true,23,-0.8667722659596734,0.5,0.5,0.199376779,0.0,5
128,0.1,4.7,1.0,100.0,0.0,0.005864581187267855,0.4004647358841894,0.9642718213264904,0.002240326625546629,true,29,-0.850661410981357,0.5,0.5,0.258259472,0.0,5
128,0.1,4.8,1.0,100.0,0.0,0.0802419835770303,0.3966062658208305,0.9470105744877055,0.026356529828519548,true,88,-0.8347477507390959,0.5,0.5,0.772749807,0.0,5
128,0.1,4.9,1.0,100.0,0.0,0.1454009926171671,0.390444636942528,0.8686953888668025,0.038273903413710286,true,46,-0.8192647142621561,0.5,0.5,0.409395907,0.0,5
128,0.1,5.0,1.0,100.0,0.0,0.1845785838536543,0.3841184425073491,0.9196403105488637,0.042502314045012035,true,34,-0.8042672081731376,0.5,0.5,0.296881142,0.0,5
128,0.1,5.1,1.0,100.0,0.0,0.21303521505281653,0.3779852784092416,0.2267907875433406,0.6122621164840192,true,30,-0.7897582450475276,0.5,0.5,0.256519274,0.0,5
128,0.1,5.2,1.0,100.0,0.0,0.2368909674669647,0.3714103424761529,0.9114729130796917,0.036693837528467554,true,13,-0.7757275299221021,0.25,0.5,0.108210778,0.0,5
128,0.1,5.3,1.0,100.0,0.0,0.2561242930156906,0.3651683914404684,0.9499549809008911,0.03483259298953101,true,27,-0.7621647873536098,0.25,0.5,0.207322435,0.0,5
128,0.1,5.4,1.0,100.0,0.0,0.2724939796987408,0.35904783488438974,0.9629776283002212,0.03219725050007671,true,38,-0.7490535124782296,0.25,0.5,0.295776185,0.0,5
