L,U,V,t,β,δ,uS,ud,QuS,Qud,Converged,I,f,g,g0,ΔT,μ
128,0.0,0.9,1.0,100.0,0.01,0.40518834350022426,1.3877787807814457e-17,0.598739003329074,5.4155898515650946e-14,true,11,-0.8106302380901276,0.5,0.5,3.499617795,0.020913733249562538
128,0.0,1.0,1.0,100.0,0.01,0.405186203025539,9.270362255620057e-15,0.5991935189173514,3.511150788518269e-11,true,11,-0.8106328743881116,0.5,0.5,3.477004743,0.020540447285748224
128,0.0,1.1,1.0,100.0,0.01,0.40518390376384494,5.5293367107189795e-11,0.5996572749048523,1.9814283118988266e-7,true,11,-0.8106355201491938,0.5,0.5,3.490675712,0.020162951406673967
128,0.0,1.2,1.0,100.0,0.01,0.40518142947374497,4.096703087874687e-9,0.6001630733293295,1.3976680532390168e-5,true,11,-0.8106381670467572,0.5,0.5,3.481873151,0.01978100945477799
128,0.0,1.3,1.0,100.0,0.01,0.40517876181556484,7.340116262022356e-8,0.6006710835823048,0.00023977720160751025,true,11,-0.8106408048827783,0.5,0.5,3.574009647,0.01939437768377355
128,0.0,1.4,1.0,100.0,0.01,0.40517588002761956,5.830844932858126e-7,0.601221862002399,0.0018324460655691445,true,11,-0.8106434212098769,0.5,0.5,3.530667244,0.019002806414420127
128,0.0,1.5,1.0,100.0,0.01,0.4051727605275679,2.3103282318914786e-6,0.6018024530802801,0.007013021074211788,true,11,-0.8106460008812656,0.5,0.5,3.463374699,0.018606040390054982
128,0.0,1.6,1.0,100.0,0.01,0.40516937645001905,9.324337570115748e-7,0.6024055697732011,0.002743226090153825,true,11,-0.8106485254247701,0.5,0.5,3.434377639,0.018203820228471813
128,0.0,1.7,1.0,100.0,0.01,0.4051656960528024,-6.036939106200678e-5,0.6031479671444462,0.17264174820253,true,11,-0.8106509855759603,0.5,0.5,3.469339575,0.01779592141320994
128,0.0,1.8,1.0,100.0,0.01,0.40516161918921256,-0.0003044796302851399,0.1510934277280107,0.8484721946438988,true,13,-0.8106536622614334,0.5,0.5,4.148327279,0.017378614268210597
128,0.0,1.9,1.0,100.0,0.01,0.40515720571017855,0.000357448416623371,5.7745235260142636e-5,0.9728192833857441,true,28,-0.8106560447517981,0.5,0.5,9.002120838,0.01695688325585473
128,0.0,2.0,1.0,100.0,0.01,0.40512262977649366,NaN,9.918790822016632e-5,27.990234814412304,false,100,NaN,0.5,0.5,31.816370294,0.017313302547656145
128,0.0,2.1,1.0,100.0,0.01,0.4048196422240864,NaN,1.27675647831893e-11,92.20814823042352,false,100,NaN,0.5,0.5,31.548495013,0.02103590364508838
128,0.0,2.2,1.0,100.0,0.01,0.4044529469944736,NaN,1.1102230246251565e-13,130.07128823811234,false,100,NaN,0.5,0.5,31.843535706,0.02243637825048641
