L,U,V,t,β,δ,uS,wd,QuS,Qwd,Converged,I,f,g,g0,ΔT,μ
128,0.0,1.7,1.0,100.0,0.0,0.38142320638016425,0.2662126624113954,0.2290044504855704,0.838437526512803,true,15,-1.398852461863291,0.5,0.5,0.225462281,0.0
128,0.0,1.8,1.0,100.0,0.0,0.37840062618737036,0.2747512399470157,0.23097569790675454,0.7586334475134793,true,15,-1.3917487419481491,0.5,0.5,0.208508504,0.0
128,0.0,1.9,1.0,100.0,0.0,0.37527645703634216,0.28265588663040275,0.2298289288170663,0.6833505929494388,true,15,-1.385327415659589,0.5,0.5,0.182309031,0.0
128,0.0,2.0,1.0,100.0,0.0,0.3720621048269318,0.28998353430088525,0.22598234003778916,0.6132968392347227,true,15,-1.3795727175521302,0.5,0.5,0.183035686,0.0
128,0.0,2.1,1.0,100.0,0.0,0.3687904349358897,0.2967411470073975,0.3509331874909094,0.9228655050512735,true,14,-1.3744682703639783,0.5,0.5,0.180318182,0.0
128,0.0,2.2,1.0,100.0,0.0,0.3654249363547504,0.3030689323734181,0.3434026420061631,0.8357960452064495,true,14,-1.3699973407285075,0.5,0.5,0.179212298,0.0
128,0.0,2.3,1.0,100.0,0.0,0.3619992653494489,0.30895487929018756,0.333004234954859,0.7555200178568366,true,14,-1.366142938397876,0.5,0.5,0.172700407,0.0
128,0.0,2.4,1.0,100.0,0.0,0.35852226237000084,0.3144353450028705,0.3202588901518588,0.6820539990837204,true,14,-1.3628879954730213,0.5,0.5,0.179009783,0.0
128,0.0,2.5,1.0,100.0,0.0,0.35500221486851247,0.319543050597188,0.3056690414540153,0.6152630907443335,true,14,-1.3602154542663332,0.5,0.5,0.219746151,0.0
128,0.0,2.6,1.0,100.0,0.0,0.3514690201478866,0.32427899692457707,0.4909008385283187,0.9956881604289425,true,13,-1.3581083449732771,0.5,0.5,0.166959775,0.0
128,0.0,2.7,1.0,100.0,0.0,0.34788273928839386,0.328732569363936,0.4689478526080926,0.9096015630725152,true,13,-1.3565498610004076,0.5,0.5,0.220119879,0.0
128,0.0,2.8,1.0,100.0,0.0,0.34427545408420757,0.33289296540110724,0.445190811542151,0.8313299424798082,true,13,-1.3555233898540107,0.5,0.5,0.249407485,0.0
128,0.0,2.9,1.0,100.0,0.0,0.34065355869653036,0.33678235211466856,0.4202230062476664,0.7605269875941012,true,13,-1.355012569263747,0.5,0.5,0.189410066,0.0
128,0.0,3.0,1.0,100.0,0.0,0.33702301048058003,0.34042094043312154,0.39458827943272823,0.6967859690391043,true,13,-1.355001315210713,0.5,0.5,0.167486814,0.0
128,0.0,3.1,1.0,100.0,0.0,0.33338934883704335,0.3438271951887699,0.3687741554795343,0.6396588252726154,true,13,-1.3554738481506194,0.5,0.5,0.152628895,0.0
128,0.0,3.2,1.0,100.0,0.0,0.3297577131081043,0.34701801743396743,0.34320687719457954,0.5886718830385718,true,13,-1.356414713997482,0.5,0.5,0.154521039,0.0
128,0.0,3.3,1.0,100.0,0.0,0.3261328598091797,0.35000890325540146,0.31824844486560977,0.5433389333755478,true,13,-1.3578088007874398,0.5,0.5,0.162133412,0.0
128,0.0,3.4,1.0,100.0,0.0,0.3225299708237021,0.3528059530458231,0.5452255953029006,0.97382582878347,true,12,-1.3596413522284847,0.5,0.5,0.154771457,0.0
128,0.0,3.5,1.0,100.0,0.0,0.3189292904730592,0.35544054652183854,0.5082509201466134,0.9110021924509937,true,12,-1.361897975580919,0.5,0.5,0.150594742,0.0
128,0.0,3.6,1.0,100.0,0.0,0.31534787730030944,0.357914124577402,0.47250984218005776,0.8548422892231677,true,12,-1.3645646524182142,0.5,0.5,0.150531638,0.0
128,0.0,3.7,1.0,100.0,0.0,0.31178909316754977,0.36023787491835835,0.4383406758704522,0.804775842816019,true,12,-1.3676277413329072,0.5,0.5,0.150372726,0.0
128,0.0,3.8,1.0,100.0,0.0,0.30825599310882357,0.3624221183475066,0.40599673820729265,0.7602427891393315,true,12,-1.3710739816896207,0.5,0.5,0.149913592,0.0
128,0.0,3.9,1.0,100.0,0.0,0.3047513423813073,0.36447638465420007,0.37565176166032277,0.7207015348409396,true,12,-1.3748904950134797,0.5,0.5,0.202412345,0.0
128,0.0,4.0,1.0,100.0,0.0,0.30127763298903654,0.36640948075889646,0.3474071794361544,0.6856356186912826,true,12,-1.379064784838847,0.5,0.5,0.467298196,0.0
128,4.0,0.0,1.0,100.0,0.0,0.4052305930846236,0.0,0.5961535021183906,0.1953125,true,11,-1.6212287122694495,0.5,0.5,0.220251389,0.0
