L,U,V,t,β,δ,uS,ud,wx,wy,QuS,Qud,Qwx,Qwy,Converged,I,f,g,g0,ΔT,μ
256,5.0,6.4,1.0,100.0,0.1,0.3043922772507268,NaN,0.0,0.0,2.220446049250313e-13,592.424265658096,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1397.884710561,0.02999997680688367
256,5.0,6.8,1.0,100.0,0.1,0.28709584613179134,NaN,0.0,0.0,2.4424906541753444e-12,628.4517076661296,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1432.079224514,0.030585658105867854
256,5.0,7.2,1.0,100.0,0.1,0.27158557728892474,NaN,0.0,0.0,0.0,655.3472674402474,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1436.249439627,0.031170784860895216
256,5.0,7.6,1.0,100.0,0.1,0.2576199013348656,NaN,0.0,0.0,1.4432899320127035e-12,676.1481800488062,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1465.361005175,0.031770170360981065
256,5.0,8.0,1.0,100.0,0.1,0.24499081386039206,NaN,0.0,0.0,3.3306690738754696e-13,692.66988883975,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1454.834274738,0.032386538891558146
256,10.0,4.0,1.0,100.0,0.1,0.3954229199786941,4.163336342344337e-17,0.0,0.0,0.9652894012717184,8.768277084582254e-14,0.328458614616758,0.328458614616758,true,126,-1.0109228639083963,0.05,0.05,451.419448655,0.09014597360877598
256,10.0,4.4,1.0,100.0,0.1,0.39487813974141384,-2.7755575615628914e-17,0.0,0.0,0.993559522159404,5.533326503969984e-14,0.3639430632872665,0.3639430632872665,true,124,-0.9287520684030528,0.05,0.05,440.415184916,0.05731937052163629
256,10.0,4.8,1.0,100.0,0.1,0.3915624803226935,-1.3877787807814457e-17,0.0,0.0,0.9602237889342335,2.8315250640580898e-14,0.6735195133702903,0.6735195133702903,true,112,-0.8491709097211386,0.05,0.05,408.737472176,0.028019433697183134
256,10.0,5.2,1.0,100.0,0.1,0.36961562887496646,NaN,0.0,0.0,6.661338147750939e-13,323.5341967250165,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1440.940114577,0.026160028952319697
256,10.0,5.6,1.0,100.0,0.1,0.3454147516431769,NaN,0.0,0.0,3.3306690738754696e-13,464.08928694456245,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1427.097471366,0.028432814607080574
256,10.0,6.0,1.0,100.0,0.1,0.32374341830220227,NaN,0.0,0.0,9.992007221626409e-13,541.6669812733555,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1448.198223623,0.02935707715127716
256,10.0,6.4,1.0,100.0,0.1,0.3043922772507268,NaN,0.0,0.0,2.220446049250313e-13,592.424265658096,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1392.572277206,0.02999997680688367
256,10.0,6.8,1.0,100.0,0.1,0.28709584613179134,NaN,0.0,0.0,2.4424906541753444e-12,628.4517076661296,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1441.269869667,0.030585658105867854
256,10.0,7.2,1.0,100.0,0.1,0.27158557728892474,NaN,0.0,0.0,0.0,655.3472674402474,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1428.409988924,0.031170784860895216
256,10.0,7.6,1.0,100.0,0.1,0.2576199013348656,NaN,0.0,0.0,1.4432899320127035e-12,676.1481800488062,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1453.645339981,0.031770170360981065
256,10.0,8.0,1.0,100.0,0.1,0.24499081386039206,NaN,0.0,0.0,3.3306690738754696e-13,692.66988883975,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1453.861305548,0.032386538891558146
256,0.0,4.0,1.0,100.0,0.15,0.3812884073499381,-1.166289287368727e-13,0.0,0.0,0.9782256431351,2.9356248360793415e-10,0.3457459101229032,0.3457459101229032,true,125,-1.0559994400657562,0.05,0.05,444.729351094,0.17220332378088438
256,0.0,4.4,1.0,100.0,0.15,0.3810240773770241,2.7755575615628914e-17,0.0,0.0,0.949535375622923,5.3933381801817384e-14,0.3457459101229032,0.3457459101229032,true,125,-0.9625367776376395,0.05,0.05,443.619819316,0.1178274037489906
256,0.0,4.8,1.0,100.0,0.15,0.3798525757069666,-8.326672684688674e-17,0.0,0.0,0.9955187188286363,1.7264554057793161e-13,0.4468266060417173,0.4468266060417173,true,120,-0.8705312829944956,0.05,0.05,426.592056303,0.06541588734878807
256,0.0,5.2,1.0,100.0,0.15,0.3708787843070972,8.326672684688674e-17,0.0,0.0,0.09823670192243839,1.684490913475473e-13,0.9644616106539327,0.9644616106539327,true,105,-0.7894465723475722,0.05,0.05,373.826863522,0.027955469851502296
256,0.0,5.6,1.0,100.0,0.15,0.34559602884043183,NaN,0.0,0.0,8.881784197001252e-13,320.1838994390679,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1453.971359503,0.034771206703370174
256,0.0,6.0,1.0,100.0,0.15,0.32339551885383006,NaN,0.0,0.0,1.9984014443252818e-12,432.4607362753178,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1441.32654728,0.03912534519551393
256,0.0,6.4,1.0,100.0,0.15,0.3038697566885956,NaN,0.0,0.0,2.6645352591003757e-12,500.760802289812,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1433.835372972,0.04164517970376805
