L,U,V,t,β,δ,m,uS,vS,vd,Qm,QuS,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.5,2.1,1.0,100.0,0.0,NaN,0.3990598352962835,NaN,0.17795535538741747,0.4940681032019982,0.0,2.0000000000024754,-4.0,false,100,NaN,0.5,0.5,1.800996246,0.0
128,0.5,2.2,1.0,100.0,0.0,NaN,0.39789027357313,4.336808689942018e-19,0.18814837683344326,0.5025654869059235,0.0,-4.000000000024277,-4.0,false,100,NaN,0.5,0.5,1.66340234,0.0
128,0.5,2.3,1.0,100.0,0.0,NaN,0.39659137806183714,NaN,0.1980690257672017,0.5100412907853304,1.3997064561146975e-16,1.0,-4.0,false,100,NaN,0.5,0.5,1.675789202,0.0
128,0.5,2.4,1.0,100.0,0.0,NaN,0.39515923020463806,3.0357660829594124e-18,0.2077077151579113,0.5166059214923164,0.0,-4.000000000000122,-4.0,false,100,NaN,0.5,0.5,1.667417185,0.0
128,0.5,2.5,1.0,100.0,0.0,NaN,0.39359055893236305,NaN,0.21705663844132617,0.5223532365490906,0.0,2.000000000000159,-4.0,false,100,NaN,0.5,0.5,1.6850754,0.0
128,0.5,2.6,1.0,100.0,0.0,NaN,0.39188280562839906,NaN,0.22610946935813525,0.5273687856312358,0.0,2.0000000000004055,-4.0,false,100,NaN,0.5,0.5,1.676246244,0.0
128,0.5,2.7,1.0,100.0,0.0,NaN,0.3900341912055929,1.734723475976807e-18,0.23486115141391545,0.5317254761024086,0.0,-5.999999999999944,-4.0,false,100,NaN,0.5,0.5,1.673609318,0.0
128,0.5,2.8,1.0,100.0,0.0,NaN,0.38804378185530664,NaN,0.24330775909488556,0.5354838478351608,0.0,3.000000000000021,-4.0,false,100,NaN,0.5,0.5,1.673506409,0.0
128,0.5,2.9,1.0,100.0,0.0,NaN,0.3859115496036948,8.673617379884035e-19,0.2514464150404575,0.5387047699306627,0.0,-1.9999999999999916,-4.0,false,100,NaN,0.5,0.5,1.700331912,0.0
128,0.5,3.0,1.0,100.0,0.0,NaN,0.38363842356914724,0.0,0.2592752491978093,0.5414376167284808,0.0,-1.0,-4.0,false,100,NaN,0.5,0.5,1.68818117,0.0
128,0.5,3.1,1.0,100.0,0.0,NaN,0.3812263278205988,5.204170427930421e-18,0.26679338749054715,0.5437329447427578,1.4561206081595923e-16,-3.9999999999999867,-4.0,false,100,NaN,0.5,0.5,1.668085446,0.0
