L,U,V,t,β,δ,m,uS,vS,vd,Qm,QuS,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.5,2.5,1.0,100.0,0.0,0.05540428446634593,0.4046042932400076,-2.869740008629235e-7,0.0,0.29812386527584833,0.9529834849759666,0.001135509164238123,9.592755498615867e-22,true,127,-1.2108580702420708,0.05,0.05,1.608244126,0.0
128,0.5,2.6,1.0,100.0,0.0,0.061301559986818,0.404439126504367,-5.968487938756185e-9,-2.0679515313825692e-25,0.9974428441840988,0.16750199615334083,2.270623257834719e-5,4.617382479311322e-22,true,158,-1.1944962550363059,0.05,0.05,2.561967582,0.0
128,0.5,2.7,1.0,100.0,0.0,0.06855855113607645,0.40420179539155743,-2.1299417233162944e-11,1.4136387421560532e-27,0.9903388806661306,0.011943075149178917,7.806605061259177e-8,2.8945871078092837e-24,true,201,-1.1781520485962382,0.05,0.05,2.389742504,0.0
128,0.5,2.8,1.0,100.0,0.0,0.07612243261623419,0.4039093021364575,-6.476551415687555e-13,0.0,0.9975167881613178,0.032642292185358635,2.290614464609607e-9,4.0379118566704046e-27,true,222,-1.1618292703502142,0.05,0.05,3.431933632,0.0
128,0.5,2.9,1.0,100.0,0.0,0.08414511433509464,0.40354516402367624,-3.87410733928237e-14,3.944304526105059e-31,0.9935882277782859,0.04315481321870429,1.324121714255639e-10,6.265642415964553e-28,true,235,-1.1455331165774212,0.05,0.05,3.676614753,0.0
128,0.5,3.0,1.0,100.0,0.0,0.09268870879454852,0.4030921195186403,-3.4031279796821373e-15,-4.930380657631324e-32,0.9933927944660303,0.052496728212059196,1.125629874690486e-11,6.773344140663563e-29,true,243,-1.1292700311922668,0.05,0.05,3.658839976,0.0
128,0.5,3.1,1.0,100.0,0.0,0.10182723508174243,0.4025279201765619,-3.541536095699813e-16,-3.0814879110195774e-33,0.9937643530912588,0.06231375977661102,1.1352015795618675e-12,5.609977587291998e-30,true,248,-1.113048044726238,0.05,0.05,3.719482202,0.0
128,0.5,3.2,1.0,100.0,0.0,NaN,NaN,-4.534811307621505e-17,-1.1555579666323415e-33,1.011295385886568,0.07433626854558284,1.4106020059159966e-13,2.6717485860482093e-30,false,250,NaN,0.05,0.05,7.663396143,0.0
128,0.5,3.3,1.0,100.0,0.0,NaN,NaN,-6.3904489326788494e-18,9.62964972193618e-35,1.0367234320596275,0.08876572757676726,1.931737256808998e-14,1.7699819612557477e-31,false,250,NaN,0.05,0.05,5.877398532,0.0
128,0.5,3.4,1.0,100.0,0.0,NaN,NaN,-7.284765023511434e-19,-3.611118645726067e-35,1.029133265100457,0.10234862001845535,2.143038781890273e-15,7.108161635381764e-32,false,250,NaN,0.05,0.05,3.746971755,0.0
128,0.5,3.5,1.0,100.0,0.0,0.14518536660088838,0.3985545949799819,-6.565025845362508e-20,-1.504632769052528e-36,0.9835563562158867,0.11328982458636006,1.882337582926293e-16,3.21605020177118e-33,true,250,-1.048806209665164,0.05,0.05,3.728260873,0.0
128,0.5,3.6,1.0,100.0,0.0,0.15768854680529915,0.39695021310677625,-9.886430521677187e-21,0.0,0.9921883962673017,0.1314329587200902,2.767002771729057e-17,4.2863592527178756e-36,true,246,-1.0329889594892,0.05,0.05,3.72026521,0.0
128,0.5,3.7,1.0,100.0,0.0,0.17072251356069884,0.3950257106286259,-1.5385089810697956e-21,-5.877471754111438e-38,0.9879910217329702,0.14971424837140201,4.20990981358078e-18,1.2092634792858886e-34,true,241,-1.0173115268353559,0.05,0.05,3.589566905,0.0
128,0.5,3.8,1.0,100.0,0.0,0.1841408412582395,0.39275329321602337,-2.57521645500133e-22,8.816207631167156e-39,0.9721566772117329,0.16729189621711438,6.900829088209904e-19,1.777743240932107e-35,true,235,-1.0017994559724495,0.05,0.05,5.521195906,0.0
128,0.5,3.9,1.0,100.0,0.0,0.19775759691420028,0.3901195052250975,-6.176937783823992e-23,2.204051907791789e-39,0.9810265477287472,0.18952971998598134,1.6236435260981693e-19,4.458159144902089e-36,true,227,-0.9864795911409131,0.05,0.05,5.192078939,0.0
128,0.5,4.0,1.0,100.0,0.0,0.21140268013123176,0.3871203363308794,-1.4390149458961796e-23,1.8367099231598242e-40,0.9664001342708506,0.20689045966670871,3.7164599542062185e-20,4.22085068830073e-37,true,219,-0.9713789265435002,0.05,0.05,3.287705368,0.0
128,1.0,0.0,1.0,100.0,0.0,0.06091136816897269,0.404507924229328,0.0,0.0,0.9926186649642094,0.06825704408974786,0.012325126779969536,0.012325126779969536,true,190,-1.6217503217049607,0.05,0.05,2.348398846,0.0
128,1.0,0.1,1.0,100.0,0.0,0.06351598216278154,0.40442579033442483,-1.4187799813163463e-7,-2.654675309279466e-7,0.9870612892267094,0.08352846012837922,0.014032566447909752,0.0031533816447120006,true,184,-1.6053883343524609,0.05,0.05,3.015614371,0.0
