L,U,V,t,β,δ,uS,wd,QuS,Qwd,Converged,I,f,g,g0,ΔT,μ
256,5.0,6.4,1.0,100.0,0.1,0.2199873005163952,0.3839256873984578,0.23316471589990284,0.9746891648048095,true,130,-1.7995973516675177,0.05,0.05,281.319881661,0.47669575221287847
256,5.0,6.8,1.0,100.0,0.1,0.21066568775385885,0.38605403427717605,0.21437296209247947,0.9951039056929067,true,129,-1.8431976092357663,0.05,0.05,278.234899592,0.48143463294345096
256,5.0,7.2,1.0,100.0,0.1,0.20196533583142204,0.38784313234485857,0.18947614214809283,0.9707767953623936,true,129,-1.8891040006927766,0.05,0.05,280.176206706,0.4864803956055429
256,5.0,7.6,1.0,100.0,0.1,0.1938432124668711,0.3893587619604187,0.1692390773063157,0.9512716353132777,true,129,-1.9370345882369733,0.05,0.05,278.628119175,0.49178232247320913
256,5.0,8.0,1.0,100.0,0.1,0.18625652730776787,0.39065218490996606,0.16061561012647996,0.984627548714756,true,128,-1.9867422895299507,0.05,0.05,277.259282043,0.4972884876790066
256,10.0,4.0,1.0,100.0,0.1,0.29065352548853907,0.3568389207977194,0.4188116429282296,0.9771579455191137,true,139,-1.6064342251306474,0.05,0.05,300.852280145,0.45400045848734877
256,10.0,4.4,1.0,100.0,0.1,0.2770938762292251,0.3640957793439237,0.40197985531653657,0.9976897180009603,true,136,-1.6281926623088117,0.05,0.05,294.212374733,0.4572712037054784
256,10.0,4.8,1.0,100.0,0.1,0.2642158091749113,0.36987211312465607,0.36855773463750907,0.9973480666188861,true,134,-1.6548278775108214,0.05,0.05,290.728937141,0.4606418734493703
256,10.0,5.2,1.0,100.0,0.1,0.25206565324624475,0.3745158204516244,0.32357258081217033,0.9695174918394889,true,133,-1.6857772111485305,0.05,0.05,287.211064134,0.4642381653456583
256,10.0,5.6,1.0,100.0,0.1,0.2406550955578184,0.3782849950468049,0.2865823810690449,0.9592686541105566,true,132,-1.720514259914379,0.05,0.05,285.62248165,0.46809680364170203
256,10.0,6.0,1.0,100.0,0.1,0.2299715401707148,0.3813729946353495,0.2568376457122157,0.9620380746058199,true,131,-1.758586937440394,0.05,0.05,283.288792558,0.47224724585513006
256,10.0,6.4,1.0,100.0,0.1,0.2199873005163952,0.3839256873984578,0.23316471589990284,0.9746891648048095,true,130,-1.7995973516675177,0.05,0.05,281.209281152,0.47669575221287847
256,10.0,6.8,1.0,100.0,0.1,0.21066568775385885,0.38605403427717605,0.21437296209247947,0.9951039056929067,true,129,-1.8431976092357663,0.05,0.05,278.118937947,0.48143463294345096
256,10.0,7.2,1.0,100.0,0.1,0.20196533583142204,0.38784313234485857,0.18947614214809283,0.9707767953623936,true,129,-1.8891040006927766,0.05,0.05,280.022452383,0.4864803956055429
256,10.0,7.6,1.0,100.0,0.1,0.1938432124668711,0.3893587619604187,0.1692390773063157,0.9512716353132777,true,129,-1.9370345882369733,0.05,0.05,278.851232344,0.49178232247320913
256,10.0,8.0,1.0,100.0,0.1,0.18625652730776787,0.39065218490996606,0.16061561012647996,0.984627548714756,true,128,-1.9867422895299507,0.05,0.05,277.327944881,0.4972884876790066
256,0.0,4.0,1.0,100.0,0.15,0.2776454256744349,0.34436277431605555,0.45840707871736,0.9809387157762028,true,140,-1.7290004087375548,0.05,0.05,263.634636947,0.6960337864200837
