L,U,V,t,β,δ,m,uS,ud,vS,Qm,QuS,Qud,QvS,I,f,g,g0,ΔT,μ
30,3.5,1.6,1.0,100.0,0.1,0.016955181921600358,-0.3952752096957571,0.00020721633302554285,-5.681254818833916e-7,0.9572243115122857,0.06311183400182774,0.09020662033333941,0.0005864822093470516,38,-2.651050838433348,0.2,0.2,0.736693357,0.5311874409701708
30,3.5,1.8,1.0,100.0,0.1,0.014987620101503677,-0.3953298845732348,0.00035700918504047305,-6.501666141061677e-7,0.9594091053205682,0.06714830988967524,0.14114244362502543,0.0006254268189748446,37,-2.753893233067518,0.2,0.2,0.731796307,0.545974392579243
30,3.5,2.0,1.0,100.0,0.1,0.013430691465166377,-0.3953682612559887,0.0006115191962054868,-7.509756569079703e-7,0.9616916371979328,0.07394531502791235,0.22192852510585823,0.000680136313885422,36,-2.8569606892138246,0.2,0.2,0.706038333,0.5611740179225649
30,4.0,1.0,1.0,100.0,0.1,0.0735763221793036,-0.39078760873282614,0.0003154371215639617,-1.6012890657411076e-5,0.9938875607232028,0.43626097296574073,0.21314383755094138,0.022777657114655528,27,-2.386237076056577,0.2,0.2,0.532946322,0.571497033218699
30,4.0,1.2,1.0,100.0,0.1,0.05883793711702513,-0.39252090577801524,0.00015829477617241804,-2.276811293497549e-6,0.9952898323112885,0.17492191967984905,0.08805709297671548,0.002843204596391575,34,-2.472291579132586,0.2,0.2,0.664060409,0.5555737146369814
30,4.0,1.4,1.0,100.0,0.1,0.04618759883725555,-0.39368379676771786,0.00011437070646019128,-5.042050923588663e-7,0.9817106131852312,0.10849290562163771,0.05485559747086097,0.0005674677149879503,39,-2.5638881579452995,0.2,0.2,0.759502936,0.5489172575179659
30,4.0,1.6,1.0,100.0,0.1,0.037159690803960796,-0.3943365950578168,0.0001302423505627863,-2.4370575644184406e-7,0.9881327539698753,0.08583996197578658,0.05563779144360394,0.00025193289028577957,41,-2.660605481586616,0.2,0.2,0.795311435,0.5517047981090246
30,4.0,1.8,1.0,100.0,0.1,0.030172590340683734,-0.39474281411217016,0.00016914795284182874,-1.5310309555747528e-7,0.9785061016062934,0.07055809611564712,0.06590047430736908,0.00014740393827662463,42,-2.7598424311931073,0.2,0.2,0.812572383,0.5591696245501905
30,4.0,2.0,1.0,100.0,0.1,0.02509954453133598,-0.39498443075829576,0.00025225433342073393,-1.27766803106202e-7,0.9693543058916794,0.0617080026076966,0.09117543129390927,0.00011578135813563922,42,-2.860770160570822,0.2,0.2,0.828402695,0.5699330160057586
30,4.5,1.0,1.0,100.0,0.1,0.11415377090740114,-0.3837361309101951,0.0006621283718784282,-5.997306708158347e-5,0.2221733292793543,0.9506427980976562,0.4789626868190156,0.08635555953589345,22,-2.45816510691044,0.2,0.2,0.42982743,0.7041709756948707
30,4.5,1.2,1.0,100.0,0.1,0.10500540660062817,-0.38563801364585615,0.0008357803949777112,-4.5284174879342976e-5,0.5378340119839425,0.8320264670852007,0.4882881414142809,0.05715818247456479,23,-2.542171444710953,0.2,0.2,0.44346685,0.6904527175096521
30,4.5,1.4,1.0,100.0,0.1,0.09658436520287471,-0.3872226756603542,0.001211701697821579,-4.356225434919992e-5,0.8292736750021984,0.8806537961733585,0.5921435611506505,0.0494684680829785,23,-2.6293060877913526,0.2,0.2,0.453401254,0.6804547086188235
30,4.5,1.6,1.0,100.0,0.1,0.08505995873335433,-0.38914635552745785,0.0009531310238729781,-1.3226905677116108e-5,0.979527101433772,0.46026562457832654,0.3985298797404618,0.013772502576959047,27,-2.713608973089865,0.2,0.2,0.526886222,0.6619308214975179
30,4.5,1.8,1.0,100.0,0.1,0.07036646198571885,-0.39120512130397395,0.000505785756818023,-1.5854613627342074e-6,0.9755925937865589,0.19540055360952602,0.18740505682242262,0.001534006415077637,34,-2.796324183620886,0.2,0.2,0.664013951,0.6373780648684838
30,4.5,2.0,1.0,100.0,0.1,0.057369530112381266,-0.3926754546509094,0.00036978496858617243,-3.151228082996142e-7,0.977061986549288,0.12892734019562813,0.1260243566425118,0.00028644603173761914,39,-2.88467844793147,0.2,0.2,0.760951696,0.6227725659467785
30,5.0,1.0,1.0,100.0,0.1,0.14942070050171744,-0.3744985186791115,0.0006958067820262845,-7.750767246156445e-5,0.6824265868342172,0.9273840277292611,0.5515557090978255,0.1135967034369157,21,-2.553719439334749,0.2,0.2,0.409714759,0.8713744404724509
30,5.0,1.2,1.0,100.0,0.1,0.14070820433662243,-0.37708142990706983,0.0008672618280328978,-5.9181820634155e-5,0.3147133232612065,0.8178245555631514,0.5531932153594398,0.07586006813439798,22,-2.630407088532473,0.2,0.2,0.42815653,0.8513877960286188
30,5.0,1.4,1.0,100.0,0.1,0.13180813020724236,-0.3795098326077723,0.0012514131632771774,-5.7495756291536644e-5,0.0021321305387844713,0.9083249428750384,0.6612344438020825,0.06614643070635078,22,-2.7087421369870928,0.2,0.2,0.438998791,0.830990273202327
30,5.0,1.6,1.0,100.0,0.1,0.12322696659646108,-0.38165918863433307,0.001748973083295656,-5.4967200878501507e-5,0.30698388960624934,0.9852831528760819,0.7852632569062457,0.05785041254817854,22,-2.790076564484313,0.2,0.2,0.427258141,0.8133021206291371
30,5.0,1.8,1.0,100.0,0.1,0.11445404356744243,-0.38367116543088925,0.0020791034948725966,-3.887575594144715e-5,0.5855749944515543,0.8641603923987273,0.807181727924617,0.037979569412727836,23,-2.873233578089362,0.2,0.2,0.44649748,0.7962408355134064
