L,U,V,t,β,δ,uS,ud,QuS,Qud,Converged,I,f,g,g0,ΔT,μ
128,0.0,5.0,1.0,100.0,0.01,0.3888607330712156,-5.903491251679771e-7,0.9877118660331918,0.001197774750042385,true,77,-0.7821560940596154,0.05,0.05,24.549426786,0.0014439688453611892
128,0.0,5.1,1.0,100.0,0.01,0.38305961179654385,-1.4587391961029539e-8,0.8809727431156045,2.9553007483376833e-5,true,67,-0.7711856103768618,0.05,0.05,21.341288251,0.0012631901346848921
128,0.0,5.2,1.0,100.0,0.01,0.37691313745454824,-5.715360726354923e-9,0.7686968202702538,1.1566535419253683e-5,true,59,-0.7594587467942578,0.05,0.05,18.744645164,0.0011344871667188436
128,0.0,5.3,1.0,100.0,0.01,0.37079489908946406,-2.30189090011379e-10,0.9784341986430745,4.6547750406621607e-7,true,52,-0.7477672281719618,0.05,0.05,16.457723451,0.0010412655950090006
128,0.0,5.4,1.0,100.0,0.01,0.3645589165704281,-6.302934008051153e-10,0.8852405879704595,1.2737366930537328e-6,true,47,-0.7357496992893086,0.05,0.05,14.891730233,0.0009680129705066298
128,0.0,5.5,1.0,100.0,0.01,0.3583525843558686,-4.128329691988064e-9,0.6793095833599327,8.33842848034271e-6,true,43,-0.7237160295289732,0.05,0.05,13.554047679,0.000909531617833379
128,0.0,5.6,1.0,100.0,0.01,0.3521383914176462,-1.8198854340178983e-8,0.2039772734837575,3.674187896060606e-5,true,40,-0.711555183426057,0.05,0.05,12.707597657,0.0008610913783809068
128,0.0,5.7,1.0,100.0,0.01,0.34618054609361304,-1.8637476090210825e-8,0.021547005796151986,3.761328788759724e-5,true,37,-0.699914359002092,0.05,0.05,11.534073943,0.0008216634732577442
128,0.0,5.8,1.0,100.0,0.01,0.34061047206670125,-3.383139389467882e-8,0.2486600557616292,6.825498316015199e-5,true,35,-0.6891413776551587,0.05,0.05,11.03684797,0.0007895898206974473
128,0.0,5.9,1.0,100.0,0.01,0.334640292117687,-2.242264594998211e-6,0.6385864287147269,0.0045224221199786025,true,34,-0.6772389547711609,0.05,0.05,10.709558915,0.0007592953673108703
128,0.0,6.0,1.0,100.0,0.01,0.32982087264671156,-2.908971494938739e-5,0.5400477202752718,0.058656526089360096,true,33,-0.6681961679920431,0.05,0.05,10.40108627,0.0007373733028635924
128,0.0,6.1,1.0,100.0,0.01,0.31934250779725265,NaN,8.881784197001252e-13,627.0665224323802,false,250,NaN,0.05,0.05,78.58640421,0.003075535527027328
128,0.0,6.2,1.0,100.0,0.01,0.3144335640751172,NaN,1.2212453270876722e-12,637.7632182053416,false,250,NaN,0.05,0.05,79.739310667,0.0030807241548419825
128,0.0,6.3,1.0,100.0,0.01,0.3096609568527321,NaN,1.3322676295501878e-12,647.565238350369,false,250,NaN,0.05,0.05,79.465838967,0.0030867259390133526
128,0.0,6.4,1.0,100.0,0.01,0.3050207182196396,NaN,1.3322676295501878e-12,656.5780967705556,false,250,NaN,0.05,0.05,80.454804167,0.0030934710330181594
128,0.0,6.5,1.0,100.0,0.01,0.30050872423545794,NaN,1.6653345369377348e-12,664.891039251715,false,250,NaN,0.05,0.05,78.090777638,0.0031008956520817217
128,0.0,6.6,1.0,100.0,0.01,0.29612078803922187,NaN,7.771561172376096e-13,672.5801471686029,false,250,NaN,0.05,0.05,78.564140102,0.003108941940020447
128,0.0,6.7,1.0,100.0,0.01,0.29185272528563544,NaN,2.1094237467877974e-12,679.71073879333,false,250,NaN,0.05,0.05,76.720938841,0.003117557609417911
128,0.0,6.8,1.0,100.0,0.01,0.2877003999681385,NaN,3.3306690738754696e-13,686.3392507232473,false,250,NaN,0.05,0.05,78.413991485,0.0031266954857139687
128,0.0,6.9,1.0,100.0,0.01,0.28365975619924116,NaN,7.771561172376096e-13,692.5147288259631,false,250,NaN,0.05,0.05,79.326993684,0.003136313025914161
128,0.0,7.0,1.0,100.0,0.01,0.2797268398541456,NaN,4.440892098500626e-13,698.2800219710267,false,250,NaN,0.05,0.05,78.523082973,0.0031463718491105182
128,0.0,7.1,1.0,100.0,0.01,0.27589781285200377,NaN,7.771561172376096e-13,703.6727467932618,false,250,NaN,0.05,0.05,79.509710333,0.0031568372971759067
128,0.0,7.2,1.0,100.0,0.01,0.27216896206773755,NaN,2.4424906541753444e-12,708.7260741097151,false,250,NaN,0.05,0.05,78.161448235,0.0031676780334575446
128,0.0,7.3,1.0,100.0,0.01,0.26853670432025334,NaN,7.771561172376096e-13,713.4693750123884,false,250,NaN,0.05,0.05,78.938878176,0.003178865681490535
128,0.0,7.4,1.0,100.0,0.01,0.2649975884950695,NaN,1.1102230246251565e-13,717.9287555247611,false,250,NaN,0.05,0.05,76.856347902,0.0031903745026568378
128,0.0,7.5,1.0,100.0,0.01,0.26154829558117587,NaN,1.1102230246251565e-12,722.127502003638,false,250,NaN,0.05,0.05,76.556955518,0.003202181110174064
128,0.0,7.6,1.0,100.0,0.01,0.25818563720052456,NaN,1.1102230246251565e-12,726.0864544853074,false,250,NaN,0.05,0.05,72.56715595,0.003214264216138938
128,0.0,7.7,1.0,100.0,0.01,0.2549065530611473,NaN,6.661338147750939e-13,729.8243214330239,false,250,NaN,0.05,0.05,69.742796538,0.003226604408184921
