L,U,V,t,β,δ,m,uS,vx,vy,Qm,QuS,Qvx,Qvy,Converged,I,f,g,g0,ΔT,μ
128,0.5,1.5,1.0,100.0,0.0,0.006594291234707864,0.405206313239027,-1.1379457494430763e-11,-1.1379457494430728e-11,0.9882527036343906,0.0018224008732081742,3.267385349225731e-8,3.267385349225721e-8,true,44,-1.3749184940646226,0.5,0.5,1.539787542,0.0
128,0.5,1.6,1.0,100.0,0.0,0.008778182988899232,0.4051994006049877,3.3040055338206573e-9,3.3040055338206635e-9,0.9917498914142411,0.0024495635030374885,9.255221799596829e-6,9.255221799596847e-6,true,45,-1.3584984543075174,0.5,0.5,1.241698433,0.0
128,0.5,1.7,1.0,100.0,0.0,0.012170704345030071,0.4051869323786439,-8.235343282349611e-7,-8.235343282349615e-7,0.9887062891092077,0.0034439846279266106,0.0022571017511953603,0.002257101751195361,true,44,-1.3420785712262993,0.5,0.5,1.049826313,0.0
128,0.5,1.8,1.0,100.0,0.0,0.016978062460069356,0.4051639037462905,-9.207316389679129e-5,-9.207316389679091e-5,0.9943074079448513,0.005005277725844692,0.24761363904857103,0.24761363904857006,true,40,-1.3256595111574754,0.5,0.5,0.5320937,0.0
128,0.5,1.9,1.0,100.0,0.0,NaN,0.4051278674854125,NaN,NaN,0.385669604791871,0.0003774474379714121,28.6572716619653,28.657271661963676,false,100,NaN,0.5,0.5,1.931660571,0.0
128,0.5,2.0,1.0,100.0,0.0,NaN,NaN,NaN,NaN,0.3515422425014528,0.0007547626343917813,52.13060771276749,52.13060779281996,false,100,NaN,0.5,0.5,2.06616749,0.0
128,0.5,2.1,1.0,100.0,0.0,NaN,NaN,NaN,NaN,0.3416294534308618,0.0006479729512953725,74.04610069881603,74.0472607111281,false,100,NaN,0.5,0.5,1.108164087,0.0
128,0.5,2.2,1.0,100.0,0.0,NaN,NaN,NaN,NaN,0.3749097818498241,0.004214363627075279,89.49257339906018,104.65431411367979,false,100,NaN,0.5,0.5,1.825926316,0.0
128,0.5,2.3,1.0,100.0,0.0,NaN,NaN,NaN,NaN,0.9078586648739225,0.001616462210196623,238.3993958195241,0.01827079073636417,false,100,NaN,0.5,0.5,1.329288481,0.0
128,0.5,2.4,1.0,100.0,0.0,NaN,0.40151249282719437,NaN,1.2796353294719407e-8,0.334898029781102,6.488849046970557e-5,286.4372486111203,3.7556898770739945e-5,false,100,NaN,0.5,0.5,1.100469478,0.0
128,0.5,2.5,1.0,100.0,0.0,NaN,0.3998073106162943,NaN,1.0237576084653567e-11,0.08594934413444548,4.295270583654087e-6,335.2855697376259,3.029123194817536e-8,false,100,NaN,0.5,0.5,1.888248957,0.0
