L,U,V,t,β,δ,uS,QuS,Converged,I,f,g,g0,ΔT,μ,Layer
128,4.0,2.3,1.0,100.0,0.0,0.40518380607207394,0.5946670628395045,true,11,-0.810802873487677,0.5,0.5,0.071359099,0.0,0
128,4.0,2.4,1.0,100.0,0.0,0.4051780568135678,0.5944157545095807,true,11,-0.8108034400076751,0.5,0.5,0.07149051,0.0,0
128,4.0,2.5,1.0,100.0,0.0,0.4051715272508214,0.5941178736890151,true,11,-0.8108035547914887,0.5,0.5,0.07196005,0.0,0
128,4.0,2.6,1.0,100.0,0.0,0.4051640815657541,0.5937633049688529,true,11,-0.8108030828957917,0.5,0.5,0.071456807,0.0,0
128,4.0,2.7,1.0,100.0,0.0,0.4051555547951131,0.5933393322707925,true,11,-0.8108018521951835,0.5,0.5,0.071942749,0.0,0
128,4.0,2.8,1.0,100.0,0.0,0.4051457451324613,0.5928298342341431,true,11,-0.8107996422184274,0.5,0.5,0.072662811,0.0,0
128,4.0,2.9,1.0,100.0,0.0,0.4051344037081456,0.592214176895367,true,11,-0.8107961691019232,0.5,0.5,0.071879043,0.0,0
128,4.0,3.0,1.0,100.0,0.0,0.40512122082882884,0.5914656663749129,true,11,-0.8107910650446359,0.5,0.5,0.0713677,0.0,0
128,4.0,3.1,1.0,100.0,0.0,0.40510580716303357,0.5905493509490434,true,11,-0.8107838498421917,0.5,0.5,0.07102707,0.0,0
128,4.0,3.2,1.0,100.0,0.0,0.40508766758196735,0.5894188435402459,true,11,-0.8107738907976141,0.5,0.5,0.07160722,0.0,0
128,4.0,3.3,1.0,100.0,0.0,0.4050661641211005,0.5880116410574843,true,11,-0.8107603452319446,0.5,0.5,0.071334197,0.0,0
128,4.0,3.4,1.0,100.0,0.0,0.4050404624954077,0.5862420906681542,true,11,-0.8107420763837918,0.5,0.5,0.071682727,0.0,0
128,4.0,3.5,1.0,100.0,0.0,0.4050094532034747,0.5839905940614454,true,11,-0.8107175276677757,0.5,0.5,0.071937049,0.0,0
128,4.0,3.6,1.0,100.0,0.0,0.40497163243241396,0.5810866611166698,true,11,-0.8106845301508563,0.5,0.5,0.073071945,0.0,0
128,4.0,3.7,1.0,100.0,0.0,0.40492491771466366,0.5772816654444624,true,11,-0.8106400000456447,0.5,0.5,0.072039557,0.0,0
128,4.0,3.8,1.0,100.0,0.0,0.4048663546386135,0.5722039141574653,true,11,-0.810579449757837,0.5,0.5,0.073319466,0.0,0
128,4.0,3.9,1.0,100.0,0.0,0.4047916358291942,0.5652825225308522,true,11,-0.8104961726353838,0.5,0.5,0.07218827,0.0,0
128,4.0,4.0,1.0,100.0,0.0,0.4046942848542031,0.5556147660272792,true,11,-0.8103798361131724,0.5,0.5,0.074598576,0.0,0
128,12.0,0.0,1.0,100.0,0.0,0.4052305930846236,0.5961535021183906,true,11,-0.8107675261002024,0.5,0.5,0.072149167,0.0,0
128,12.0,0.1,1.0,100.0,0.0,0.4052299198554523,0.5961430036613979,true,11,-0.8107688459863638,0.5,0.5,0.072567102,0.0,0
128,12.0,0.2,1.0,100.0,0.0,0.40522919752542697,0.596131170404357,true,11,-0.8107702036604596,0.5,0.5,0.071505211,0.0,0
128,12.0,0.3,1.0,100.0,0.0,0.40522842132091597,0.5961178217955831,true,11,-0.8107715997586077,0.5,0.5,0.072001754,0.0,0
128,12.0,0.4,1.0,100.0,0.0,0.40522758588806085,0.5961027495134941,true,11,-0.8107730347542247,0.5,0.5,0.072517198,0.0,0
128,12.0,0.5,1.0,100.0,0.0,0.40522668520886407,0.5960857126457997,true,11,-0.810774508907473,0.5,0.5,0.073134751,0.0,0
128,12.0,0.6,1.0,100.0,0.0,0.4052257125033503,0.5960664319422104,true,11,-0.8107760222024092,0.5,0.5,0.071417304,0.0,0
128,12.0,0.7,1.0,100.0,0.0,0.4052246601152055,0.5960445829411576,true,11,-0.8107775742688887,0.5,0.5,0.073057144,0.0,0
128,12.0,0.8,1.0,100.0,0.0,0.40522351937776047,0.5960197877330486,true,11,-0.8107791642855815,0.5,0.5,0.072100963,0.0,0
128,12.0,0.9,1.0,100.0,0.0,0.4052222804565214,0.5959916050566338,true,11,-0.8107807908595159,0.5,0.5,0.072375286,0.0,0
128,12.0,1.0,1.0,100.0,0.0,0.40522093216363364,0.5959595183653299,true,11,-0.8107824518764642,0.5,0.5,0.071762934,0.0,0
128,12.0,1.1,1.0,100.0,0.0,0.4052194617386389,0.5959229213945427,true,11,-0.8107841443150067,0.5,0.5,0.07242769,0.0,0
