x,y1,y2,y3,y4
-1.69,0.0,2.1968153648368536,4.61527585874202,6.66887740379071
-1.68,0.0,2.203662256065117,4.631420958206084,6.667714273513543
-1.67,0.0,2.21059226936717,4.647389317759965,6.666450236934929
-1.66,0.0,2.217600642511085,4.663147923331573,6.665085349284069
-1.65,0.0,2.224682353108853,4.67866355414099,6.663619668728517
-1.64,0.0,2.2318321228273597,4.693902895218024,6.6620532560185755
-1.63,0.0,2.2390444222322103,4.70883265279957,6.660386174099908
-1.62,0.0,2.2463134762783032,4.723419672066821,6.658618487693059
-1.61,0.0,2.2536332704575974,4.73763105665693,6.656750262838478
-1.6,0.0,2.2609975576111614,4.751434289361686,6.65478156640545
-1.59,0.0,2.2683998654093798,4.764797353407305,6.652712465563224
-1.58,0.0,2.2758335045010236,4.777688853694846,6.65054302721242
-1.57,0.0,2.283291577328823,4.790078137370093,6.648273317374627
-1.56,0.0,2.290766987606155,4.801935413085331,6.645903400537907
-1.55,0.0,2.2982524504464936,4.8132318683131885,6.64343333895567
-1.54,0.0,2.305740503134368,4.823939784074941,6.640863191896159
-1.53,0.0,2.313223516523716,4.834032646452166,6.638193014839532
-1.52,0.0,2.320693707046718,4.8434852542616715,6.635422858619173
-1.51,0.0,2.328143149313464,4.852273822288955,6.632552768503618
-1.5,0.0,2.335563789280135,4.86037607949515,6.629582783215033
-1.49,0.0,2.3429474579607708,4.86777136163632,6.626512933879878
-1.48,0.0,2.350285885655185,4.874440697762001,6.623343242906849
-1.47,0.0,2.3575707166631457,4.8803668900917225,6.6200737227867865
-1.46,0.0,2.364793524452591,4.8855345868039635,6.616704374808636
-1.45,0.0,2.3719458272474303,4.889930347310971,6.613235187684959
-1.44,0.0,2.3790191039983237,4.893542699635196,6.609666136079817
-1.43,0.0,2.3860048106978455,4.896362189548219,6.605997179031087
-1.42,0.0,2.3928943969995378,4.89838142118075,6.602228258258425
-1.41,0.0,2.399679323098625,4.8995950888621955,6.5983592963471125
-1.4,0.0,2.4063510768305516,4.9,6.594390194797008
-1.39,0.0,2.412901190942039,4.8995950888621955,6.590320831924554
-1.38,0.0,2.419321260488095,4.89838142118075,6.586151060604474
-1.37,0.0,2.425602960307241,4.896362189548219,6.581880705836233
-1.36,0.0,2.431738062526295,4.893542699635196,6.57750956211861
-1.35,0.0,2.4377184540452457,4.889930347310971,6.573037390613727
-1.34,0.0,2.4435361539521723,4.8855345868039635,6.5684639160796525
-1.33,0.0,2.4491833308177267,4.8803668900917225,6.563788823548104
-1.32,0.0,2.4546523198184973,4.874440697762001,6.559011754720868
-1.31,0.0,2.459935639638516,4.867771361636321,6.554132304055161
-1.3,0.0,2.4650260090983527,4.86037607949515,6.549150014504306
-1.29,0.0,2.469916363461578,4.852273822288955,6.544064372875653
-1.28,0.0,2.4745998703689502,4.8434852542616715,6.53887480476251
-1.27,0.0,2.479069945351398,4.834032646452167,6.533580669000933
-1.26,0.0,2.483320266873842,4.823939784074942,6.52818125159526
-1.25,0.0,2.4873447908630046,4.813231868313189,6.522675759048279
-1.24,0.0,2.491137764673681,4.801935413085331,6.517063311022441
-1.23,0.0,2.494693740449449,4.790078137370093,6.511342932247561
-1.22,0.0,2.4980075878354633,4.777688853694846,6.505513543577404
-1.21,0.0,2.501074506002835,4.764797353407305,6.499573952082265
-1.2,0.0,2.503890034946117,4.751434289361686,6.493522840046463
-1.19,0.0,2.5064500660175653,4.737631056656931,6.487358752718057
-1.18,0.0,2.508750851664203,4.723419672066822,6.4810800846322785
-1.17,0.0,2.51078901433614,4.70883265279957,6.474685064299167
-1.16,0.0,2.5125615545372137,4.693902895218024,6.468171737008601
-1.15,0.0,2.5140658579917288,4.67866355414099,6.461537945460648
-1.14,0.0,2.515299701903881,4.663147923331573,6.454781307874188
-1.13,0.0,2.516261260289384,4.647389317759965,6.4478991931594
-1.12,0.0,2.51694910836181,4.631420958206084,6.440888692656954
-1.11,0.0,2.5173622259592476,4.61527585874202,6.433746587844215
-1.1,0.0,2.5175,4.5989867176057375,6.4264693132812605
-1.09,0.0,2.5173622259592476,4.582585811946062,6.419052913909544
-1.08,0.0,2.51694910836181,4.566104896885159,6.41149299561428
-1.07,0.0,2.516261260289384,4.549575109308499,6.403784667704969
-1.06,0.0,2.515299701903881,4.533026876754383,6.395922475639601
-1.05,0.0,2.5140658579917288,4.5164898317354405,6.387900321892888
-1.04,0.0,2.5125615545372137,4.499992731783772,6.379711372314297
-1.03,0.0,2.51078901433614,4.483563385469695,6.371347944591096
-1.02,0.0,2.508750851664203,4.467228584601797,6.362801374459033
-1.01,0.0,2.5064500660175653,4.4510140427736005,6.354061853993802
-1.0,0.0,2.503890034946117,4.434944340379724,6.3451182345313155
-0.99,0.18631907278916585,2.502480849086536,4.419042876182581,6.33595778429841
-0.98,0.26412971901816024,2.5002039527215087,4.4033318254693965,6.3265658873777815
-0.97,0.3242504611697833,2.4976612637898663,4.387832104799202,6.316925665704344
-0.96,0.3752669903613184,2.4949139498859303,4.372563343300513,6.307017498645721
-0.95,0.4204926383055598,2.491992551624991,4.3575438604430765,6.2968184041536475
-0.94,0.46162000419736354,2.488919331723368,4.342790650171433,6.286301229502128
-0.93,0.4996502760221725,2.4857137305199006,4.328319371254439,6.275433574889429
-0.92,0.5352327471058972,2.4823942896098417,4.314144343673372,6.264176333787627
-0.91,0.568816131943367,2.4789794825849154,4.3002785508421,6.252481669190169
