L,U,V,t,β,δ,uS,ud,wx,wy,QuS,Qud,Qwx,Qwy,Converged,I,f,g,g0,ΔT,μ,Layer
256,0.0,2.8,1.0,100.0,0.35,0.2346919534671862,-1.7607258489343858e-5,0.0,0.0,0.8208217277405061,0.26826310361652955,0.6044629098073154,0.6044629098073154,true,27,-2.1150148489246416,0.2,0.2,150.14596156,1.5651426293683726,0
256,0.0,2.8,1.0,100.0,0.4,0.1701844988585557,-1.951089188201305e-5,0.0,0.0,0.6676816217597303,0.7086734063171932,0.9444732965739303,0.9444732965739303,true,25,-2.547702824505545,0.2,0.2,99.927899979,2.1644215531022732,0
256,0.0,2.8,1.0,100.0,0.45,0.0923403244111802,-5.501246449879371e-6,0.0,0.0,0.07113236606870466,0.8862380961071342,0.9444732965739303,0.9444732965739303,true,25,-3.1545903690665797,0.2,0.2,91.812653492,2.9568830074920305,0
256,0.0,3.2,1.0,100.0,0.0,0.40509070832960614,-5.965970027999035e-7,0.0,0.0,0.9513506907261604,0.0013386296033006764,0.3094850098213456,0.3094850098213456,true,30,-1.0958422712270097,0.2,0.2,2.810221829,0.0,0
256,0.0,3.2,1.0,100.0,0.05,0.40309091232204586,2.7755575615628914e-17,0.0,0.0,0.9477370271450125,6.937354272348788e-14,0.3094850098213456,0.3094850098213456,true,30,-1.1283686509648496,0.2,0.2,117.174737623,0.06458518691700775,0
256,0.0,3.2,1.0,100.0,0.1,0.3956573855214593,-1.3877787807814457e-17,0.0,0.0,0.9272747853710239,6.663749634235632e-14,0.3094850098213456,0.3094850098213456,true,30,-1.1762974798355463,0.2,0.2,158.387677735,0.15713524211425636,0
256,0.0,3.2,1.0,100.0,0.15,0.381432321268665,-4.941899667265659e-11,0.0,0.0,0.8827837077129974,1.5128835061755176e-7,0.3094850098213456,0.3094850098213456,true,30,-1.243528623728829,0.2,0.2,188.985842218,0.2816967283166632,0
256,0.0,3.2,1.0,100.0,0.2,0.3592906489966712,-2.4237418433381563e-8,0.0,0.0,0.813295995226393,8.922584665629554e-5,0.3094850098213456,0.3094850098213456,true,30,-1.3400620221428596,0.2,0.2,175.071425076,0.4511020812294656,0
256,0.0,3.2,1.0,100.0,0.25,0.32816105768842313,-1.037386885616165e-6,0.0,0.0,0.8944426436843234,0.005007056822351857,0.38685626227668196,0.38685626227668196,true,29,-1.481877531823019,0.2,0.2,263.039079013,0.6848903941167078,0
256,0.0,3.2,1.0,100.0,0.3,0.28698387120098107,-7.5065404779306455e-6,0.0,0.0,0.9155750218928782,0.053897894370635795,0.4835703278458524,0.4835703278458524,true,28,-1.6915851221505098,0.2,0.2,237.238547087,1.0088297359363319,0
256,0.0,3.2,1.0,100.0,0.35,0.23468906688221938,-1.749020200689233e-5,0.0,0.0,0.8232173353869832,0.22371207958820769,0.6044629098073154,0.6044629098073154,true,27,-2.000233775128747,0.2,0.2,162.189064476,1.4560257714191571,0
256,0.0,3.2,1.0,100.0,0.4,0.17018322915660905,-2.18365738621773e-5,0.0,0.0,0.6694753598904812,0.6703575302325209,0.9444732965739303,0.9444732965739303,true,25,-2.4493068815355974,0.2,0.2,81.686618823,2.0679648804551096,0
256,0.0,3.2,1.0,100.0,0.45,0.09233991090585235,-6.3466621491592434e-6,0.0,0.0,0.07069742402696089,0.8766805302554693,0.9444732965739303,0.9444732965739303,true,25,-3.091576345189022,0.2,0.2,91.862551658,2.894142643844771,0
256,0.0,3.6,1.0,100.0,0.0,0.40374592343841365,NaN,0.0,0.0,3.3306690738754696e-13,144.1687302162358,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,17.467866943,0.0,0
256,0.0,3.6,1.0,100.0,0.05,0.4029869967755179,-3.0531133177191805e-16,0.0,0.0,0.9417815741123992,6.99697652894401e-13,0.3094850098213456,0.3094850098213456,true,30,-1.0555575538257262,0.2,0.2,162.366136435,0.050343158605861464,0
256,0.0,3.6,1.0,100.0,0.1,0.3955872034373725,-1.3877787807814457e-17,0.0,0.0,0.9249528237317284,3.126782308939262e-14,0.3094850098213456,0.3094850098213456,true,30,-1.093540148491186,0.2,0.2,154.288495815,0.1235528364038189,0
256,0.0,3.6,1.0,100.0,0.15,0.3813859241889016,-9.825473767932635e-15,0.0,0.0,0.8830463499756025,2.7102590787044718e-11,0.3094850098213456,0.3094850098213456,true,30,-1.1496935868575657,0.2,0.2,189.043998435,0.2268577974254124,0
256,0.0,3.6,1.0,100.0,0.2,0.35926245835485504,-9.326090733008385e-10,0.0,0.0,0.8146943182776312,3.0238565562376782e-6,0.3094850098213456,0.3094850098213456,true,30,-1.2352703324048553,0.2,0.2,178.182320701,0.37515976577049065,0
256,0.0,3.6,1.0,100.0,0.25,0.3281454381632285,-2.965396596055214e-7,0.0,0.0,0.8970210472047935,0.0012351153582920331,0.38685626227668196,0.38685626227668196,true,29,-1.3680767631945874,0.2,0.2,274.043031059,0.5905877594944808,0
256,0.0,3.6,1.0,100.0,0.3,0.2869759508993016,-4.997134781359325e-6,0.0,0.0,0.9187470986151691,0.03055616024779783,0.4835703278458524,0.4835703278458524,true,28,-1.5732811318470747,0.2,0.2,241.301380639,0.9021283089136961,0
256,0.0,3.6,1.0,100.0,0.35,0.2346854453634102,-1.6660999992923475e-5,0.0,0.0,0.8260893802984892,0.18132814419274293,0.6044629098073154,0.6044629098073154,true,27,-1.8854628963331173,0.2,0.2,119.067930293,1.3469201504599282,0
256,0.0,3.6,1.0,100.0,0.4,0.1701817692966164,-2.396231238113722e-5,0.0,0.0,0.6716792460245147,0.6307778706373222,0.9444732965739303,0.9444732965739303,true,25,-2.350916403047033,0.2,0.2,102.198100934,1.9715140515030363,0
256,0.0,3.6,1.0,100.0,0.45,0.09233946987090969,-7.206060049613772e-6,0.0,0.0,0.07016822158828484,0.8667600423207099,0.9444732965739303,0.9444732965739303,true,25,-3.028563829008706,0.2,0.2,91.664757145,2.8314038339675713,0
256,0.0,4.0,1.0,100.0,0.0,0.4046966477891144,2.7755575615628914e-17,0.0,0.0,0.9747904085205539,5.84205324764526e-14,0.328458614616758,0.328458614616758,true,126,-0.9646573665132021,0.05,0.05,12.978276324,0.0,2
256,0.0,4.0,1.0,100.0,0.05,0.40272937600159864,2.422334253765479e-6,0.0,0.0,0.9169182510494478,0.00529287254706694,0.3094850098213456,0.3094850098213456,true,30,-0.9829157489752796,0.2,0.2,183.753715438,0.036310656604023196,0
256,0.0,4.0,1.0,100.0,0.1,0.39542274051293835,1.3877787807814457e-17,0.0,0.0,0.911312477298698,3.957497259534774e-14,0.3094850098213456,0.3094850098213456,true,30,-1.0109092088913756,0.2,0.2,156.116941015,0.09012324205917471,0
256,0.0,4.0,1.0,100.0,0.15,0.3812882147536389,2.7755575615628914e-17,0.0,0.0,0.8780720898698968,6.043841241011756e-14,0.3094850098213456,0.3094850098213456,true,30,-1.0559526984120031,0.2,0.2,189.824058129,0.17213151217341568,0
256,0.0,4.0,1.0,100.0,0.2,0.35921015400906614,-2.5996149677354197e-12,0.0,0.0,0.8141349122078312,7.51603346310085e-9,0.3094850098213456,0.3094850098213456,true,30,-1.1305419060955448,0.2,0.2,182.890037639,0.29929178840765613,0
256,0.0,4.0,1.0,100.0,0.25,0.32812009506294315,-4.5127264480804286e-8,0.0,0.0,0.8991466601364628,0.00016411466932906896,0.38685626227668196,0.38685626227668196,true,29,-1.2543131580541313,0.2,0.2,273.879768023,0.4963275531025933,0
256,0.0,4.0,1.0,100.0,0.3,0.2869646453007453,-2.813546220253871e-6,0.0,0.0,0.9222068916283632,0.014809817355250004,0.4835703278458524,0.4835703278458524,true,28,-1.4549964988249826,0.2,0.2,243.387927391,0.7954482618151825,0
256,0.0,4.0,1.0,100.0,0.35,0.23468081930727924,-1.5155951807760415e-5,0.0,0.0,0.8294896476098157,0.14176010191986546,0.6044629098073154,0.6044629098073154,true,27,-1.7707043658095114,0.2,0.2,120.804456122,1.2378280966391741,0
