L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,I,f,g,g0,ΔT,μ
128,0.5,0.4,1.0,100.0,0.0,0.8096959110384799,-2.4650279520366247e-7,1.270660084746214e-5,0.06706448685708119,-2.9065062382913065e-8,0.7191625144005176,0.004803339549785236,0.23856246381420773,0.8044437992118514,0.00017989024242014585,12,-1.621267880021911,0.5,0.5,0.190410102,0.0
128,0.5,0.5,1.0,100.0,0.0,0.8084387956405278,-3.8837958543647133e-7,1.2333899777588813e-5,0.09551926642329762,-2.29716005713948e-8,0.2905846173157922,0.00528195408312398,0.17163155985309803,0.9723726024448154,0.00016125703799667185,13,-1.6214764710466818,0.5,0.5,0.218520756,0.0
128,0.5,0.6,1.0,100.0,0.0,0.806265642473284,-1.749497293423996e-7,4.11069971085142e-6,0.1236667109048209,-1.5238691593311149e-9,0.04532660203482308,0.0018504024960681344,0.04404302569586466,0.9253352053980035,1.1838732669606582e-5,16,-1.621730424345081,0.5,0.5,0.26357629,0.0
128,0.5,0.7,1.0,100.0,0.0,0.8030900227042271,-2.4073858020945416e-7,4.517937630892956e-6,0.15007027850871646,-9.630271372018662e-10,0.1005182221873735,0.0020199639460943618,0.03820945867213852,0.8521819665303076,8.138161763896893e-6,17,-1.6219611019722047,0.5,0.5,0.26968293,0.0
128,0.5,0.8,1.0,100.0,0.0,0.7988490329499558,-5.421650623727015e-7,8.540337946426075e-6,0.17448189715636486,-1.5567208529188026e-9,0.1547973600533048,0.0036588522485837363,0.05797091537157847,0.8786529376103025,1.4128233937447392e-5,17,-1.6220655875008467,0.5,0.5,0.282532738,0.0
128,0.5,0.9,1.0,100.0,0.0,0.7934959732754586,-1.1776843856226016e-6,1.613320734199144e-5,0.19694617407464526,-2.240595403657508e-9,0.2002387862332089,0.006461724360942956,0.08887998693150384,0.8243092504558458,2.162844257973304e-5,17,-1.6219108359641692,0.5,0.5,0.272094252,0.0
128,0.5,1.0,1.0,100.0,0.0,0.7870242338500909,-2.4962471554534904e-6,3.0531044886329337e-5,0.2175022013468966,-2.9783173219333214e-9,0.23180419158741472,0.011208986692529043,0.13747219894721022,0.7264496069256388,3.033737298153838e-5,17,-1.6213638628378724,0.5,0.5,0.282628913,0.0
128,0.5,1.1,1.0,100.0,0.0,0.7794827105230753,-7.699340345085348e-6,8.578986496089128e-5,0.23616735602367872,-9.725743169153311e-9,0.36514162188971966,0.02835103967818202,0.31678355635531713,0.9368326353568213,0.0001038019143393715,16,-1.6203250272154635,0.5,0.5,0.264050312,0.0
128,0.5,1.2,1.0,100.0,0.0,0.7708404861458189,-1.5310530145001833e-5,0.0001580069225686851,0.25321115090027657,-1.1532364597999223e-8,0.3759839012000832,0.046322333540287114,0.47893093596142017,0.7810736933503426,0.0001283098566277885,16,-1.6186263504300307,0.5,0.5,0.253380373,0.0
128,0.5,1.3,1.0,100.0,0.0,0.76118664092757,-3.011565890057022e-5,0.0002917318051993698,0.2686527109828718,-1.327553568464257e-8,0.3645947444554931,0.07468512814426165,0.7243157002961651,0.6313114009728338,0.00015324166718358012,16,-1.6162057980933273,0.5,0.5,0.264099447,0.0
128,0.5,1.4,1.0,100.0,0.0,0.7505751295160701,-4.390964382708362e-5,0.00040376596877359124,0.2826271042549823,-5.961664398257405e-9,0.2051253086596816,0.08883429678511122,0.8172261211911213,0.29577703725292004,7.112619860096098e-5,17,-1.612985412874929,0.5,0.5,0.274348178,0.0
128,0.5,1.5,1.0,100.0,0.0,0.739129820129347,-6.80100916650439e-5,0.0005993315475972417,0.29519676972236913,-2.676506703769288e-9,0.1008991525002223,0.11121947831886798,0.9802387732617853,0.12898219912549358,3.2887232597349434e-5,18,-1.608977649036881,0.5,0.5,0.297652792,0.0
128,0.5,1.6,1.0,100.0,0.0,0.7269405925800123,-8.977517094749254e-5,0.000764447853145207,0.30648800153751526,-4.875762640854653e-10,0.023324902178156748,0.11709108094939795,0.997077059137143,0.03189277340798213,6.152781580756853e-6,20,-1.6041840206316698,0.5,0.5,0.325884864,0.0
