L,U,V,t,β,δ,uS,wS,ws,QuS,QwS,Qws,I,f,g,g0,ΔT,μ
128,0.0,2.1,1.0,100.0,0.0,0.6349284134044686,0.25170610445082564,6.245004513516506e-17,0.642641286239698,0.5280293235350175,0.006103515624945263,16,-1.5364674382233419,0.5,0.5,0.194262231,0.0
128,0.0,2.2,1.0,100.0,0.0,0.6060619617763637,0.2689241001973891,6.938893903907228e-17,0.5418834166952546,0.4845024879540638,0.012207031249993512,15,-1.530830081228002,0.5,0.5,0.190727856,0.0
128,0.0,2.3,1.0,100.0,0.0,0.5797108156545794,0.28308845792974374,0.0,0.6259379290414202,0.6132900182110879,0.024414062500076016,14,-1.528542411289374,0.5,0.5,0.18850762,0.0
128,0.0,2.4,1.0,100.0,0.0,0.555556189088108,0.29495910435656536,2.0816681711721685e-17,0.8544723453187686,0.9093409495445348,0.04882812500006364,13,-1.529182801453483,0.5,0.5,0.168208731,0.0
128,0.0,2.5,1.0,100.0,0.0,0.5333336989659238,0.30505075815297833,9.020562075079397e-17,0.6427257826879806,0.7364942330513324,0.048828124999851265,13,-1.5323996848735049,0.5,0.5,0.161518685,0.0
128,0.0,2.6,1.0,100.0,0.0,0.5128207495874512,0.313728901547716,2.7755575615628914e-17,0.518623487725689,0.635426780786319,0.04882812499993896,13,-1.5378956907684633,0.5,0.5,0.163265433,0.0
128,0.0,2.7,1.0,100.0,0.0,0.49382732364005516,0.3212632732106777,5.551115123125783e-17,0.4320681394595072,0.5628075108609076,0.04882812499998413,13,-1.5454175516389481,0.5,0.5,0.171255745,0.0
128,0.0,2.8,1.0,100.0,0.0,0.47619070753932624,0.3278579212723963,-2.0816681711721685e-17,0.7232397087222342,0.9968586634918619,0.09765625000007587,12,-1.5547480594822702,0.5,0.5,0.157389774,0.0
128,0.0,2.9,1.0,100.0,0.0,0.4597702857669299,0.3336711882432073,4.85722573273506e-17,0.6216617451951789,0.9030666712225299,0.09765624999995012,12,-1.5657003731463837,0.5,0.5,0.145989715,0.0
128,0.0,3.0,1.0,100.0,0.0,0.44444458039435386,0.3388273038806747,-2.0816681711721685e-17,0.5681062353404265,0.8668261608277827,0.09765625000002397,12,-1.5781121597532117,0.5,0.5,0.146679311,0.0
128,0.0,3.1,1.0,100.0,0.0,0.4301076443879045,0.3434257730570228,8.326672684688674e-17,0.55136416748236,0.881052601050758,0.09765625000002787,12,-1.591842175860176,0.5,0.5,0.154933993,0.0
128,0.0,3.2,1.0,100.0,0.0,0.41666677974366817,0.3475471843619321,-1.3877787807814457e-17,0.548725235542058,0.9159636364522994,0.09765625000019763,12,-1.6067668453381665,0.5,0.5,0.16412415,0.0
128,0.0,3.3,1.0,100.0,0.0,0.404040537144433,0.35125753191107756,1.249000902703301e-16,0.5413449461688646,0.9419438575481998,0.09765624999986537,12,-1.6227775789889278,0.5,0.5,0.156230682,0.0
128,0.0,3.4,1.0,100.0,0.0,0.39215706619966856,0.3546113873848079,-2.0816681711721685e-17,0.5199456968099092,0.9414345564234816,0.09765625000003915,12,-1.6397785699737502,0.5,0.5,0.144933975,0.0
128,0.0,3.5,1.0,100.0,0.0,0.3809527433322968,0.35765427135329375,1.249000902703301e-16,0.4831927778584655,0.9093242355850961,0.09765624999984687,12,-1.6576849674748955,0.5,0.5,0.152503976,0.0
