L,U,V,t,β,δ,uS,wS,wd,ws,QuS,QwS,Qwd,Qws,I,f,g,g0,ΔT,μ
128,0.5,2.2,1.0,100.0,0.0,0.6433160525856733,0.027163768909852434,0.35239850696377506,0.0,0.0837871028205317,0.995496660757586,0.04765065086131948,6.112234525765334e-15,81,-1.5630902570391219,0.5,0.5,1.178254118,0.0
128,0.5,2.3,1.0,100.0,0.0,0.6188865788086787,0.08643094076959115,0.3516787087257738,-8.990277213793973e-7,0.2930528472557814,0.9390434036554984,0.9979852551871282,0.013540223218493774,12,-1.5566011037984726,0.5,0.5,0.170961587,0.0
128,0.5,2.4,1.0,100.0,0.0,0.5960617660552823,0.11585072203744412,0.35112311522830314,-6.251194006878791e-12,0.3043438287302358,0.9695149022457272,0.21429377119663862,9.900185829017899e-8,26,-1.5524412129971692,0.5,0.5,0.374972455,0.0
128,0.5,2.5,1.0,100.0,0.0,0.5729508257472131,0.14176130514022622,0.3492842937627856,-1.3638326579190618e-12,0.3255098677157342,0.9168515792699061,0.2635774016173098,2.278895938366214e-8,28,-1.5513869166452743,0.5,0.5,0.408829613,0.0
128,0.5,2.6,1.0,100.0,0.0,0.5517117664881811,0.16112312385496153,0.347665346898285,-8.494947800752328e-12,0.3583672424181117,0.9574674153049467,0.32824431961686606,1.4924116344953173e-7,26,-1.5526892884020076,0.5,0.5,0.374590378,0.0
128,0.5,2.7,1.0,100.0,0.0,0.5319856981595819,0.17676637303580392,0.3461230699525541,-2.2215035366812685e-11,0.326560323005598,0.8547261940676787,0.3349705983793916,4.092714045266692e-7,25,-1.5561700536592014,0.5,0.5,0.370263416,0.0
128,0.5,2.8,1.0,100.0,0.0,0.5137390123694819,0.1895118378934853,0.34478369210251125,-1.2800075582797277e-10,0.3665648201895966,0.9565457465252614,0.41471187058172987,2.4659748497103675e-6,23,-1.5614581044352271,0.5,0.5,0.324063385,0.0
128,0.5,2.9,1.0,100.0,0.0,0.49669375858926496,0.20040103225773476,0.34349878149372304,-3.163991048327208e-10,0.3564013065268101,0.936647150987846,0.4413622610582868,6.360442208936519e-6,22,-1.5684993171504125,0.5,0.5,0.327280363,0.0
128,0.5,3.0,1.0,100.0,0.0,0.48078327148274114,0.20973103120282977,0.34232318938566814,-7.66373638161344e-10,0.3597265247337056,0.9577901044021675,0.4829529056760151,1.6041073683247273e-5,21,-1.57705013545882,0.5,0.5,0.303499846,0.0
128,0.5,3.1,1.0,100.0,0.0,0.4658397843529375,0.21797280807263741,0.34116590620466697,-8.192660716499489e-10,0.2990299976666222,0.8101290302352515,0.43392686186971563,1.7822469523899876e-5,21,-1.5870821980874017,0.5,0.5,0.300405252,0.0
128,0.5,3.2,1.0,100.0,0.0,0.4518744892036536,0.22506675928599243,0.34017136239774615,-1.9273369983308086e-9,0.3211537728193825,0.8865263796764555,0.4974738250862476,4.349134661237696e-5,20,-1.598239773774863,0.5,0.5,0.295808623,0.0
128,0.5,3.3,1.0,100.0,0.0,0.43869952119831723,0.23146878518137864,0.3391763193275695,-2.0253559870897497e-9,0.27805449690831985,0.7838346658433082,0.4597712525190589,4.733389069946373e-5,20,-1.610651896821638,0.5,0.5,0.285698025,0.0
128,0.5,3.4,1.0,100.0,0.0,0.42633623852061886,0.2370446895412966,0.3383294467434038,-4.6547957051334965e-9,0.3135823590525444,0.9022117676155683,0.5465288886433717,0.00011248317160403585,19,-1.6239585694197582,0.5,0.5,0.276449434,0.0
128,0.5,3.5,1.0,100.0,0.0,0.414624672753954,0.2421689896969955,0.3374619191711911,-4.8269713105036915e-9,0.2784992012740961,0.819188294237827,0.5133346034512654,0.00012044503053448903,19,-1.638357635364669,0.5,0.5,0.283074062,0.0
128,0.5,3.6,1.0,100.0,0.0,0.4035986226882886,0.2466572621730847,0.3367365412567293,-1.0892345886359678e-8,0.32238185389443785,0.9676808898541056,0.6193090750238328,0.00028026077404344187,18,-1.653459104773799,0.5,0.5,0.253490765,0.0
128,0.5,3.7,1.0,100.0,0.0,0.39311358877558883,0.2508548143789197,0.33596936816687595,-1.118545933306847e-8,0.2881331703076251,0.8842677167243407,0.581267816417097,0.00029641388309033,18,-1.6695402673274613,0.5,0.5,0.265298016,0.0
128,0.5,3.8,1.0,100.0,0.0,0.3831720489379729,0.2546737306375251,0.33524836198500374,-1.1458350704027231e-8,0.2570668063162085,0.806475886840019,0.54300472502955,0.0003123615773553295,18,-1.6863636463296334,0.5,0.5,0.266264851,0.0
128,0.5,3.9,1.0,100.0,0.0,0.37377187899609016,0.25803359828630756,0.33465975637486656,-2.537668289913364e-8,0.30149692422221097,0.9638288175208842,0.6544827765546657,0.0007108746718100929,17,-1.7036731357716062,0.5,0.5,0.240463799,0.0
128,0.5,4.0,1.0,100.0,0.0,0.3647932498214437,0.2612369400902441,0.3340165218952827,-2.583217571967833e-8,0.27087659168545386,0.884656368520087,0.6124792941870627,0.0007428240030177469,17,-1.721818556496037,0.5,0.5,0.249430458,0.0
128,1.0,0.0,1.0,100.0,0.0,0.8104611861692472,-2.3264454728053903e-25,4.1359030627651384e-25,-5.3835053611716225e-9,0.6971079540900593,0.09765625,0.09765625,1.809871852592249e-5,12,-1.6212287122694498,0.5,0.5,0.177293014,0.0
128,1.0,0.1,1.0,100.0,0.0,0.8104583892403467,6.613486102016941e-7,0.00021145571555715697,2.066203269687517e-9,0.34875589762495274,0.06131391584152821,0.8314777567544802,6.87173155171908e-6,13,-1.6212285931620998,0.5,0.5,0.191181891,0.0
