L,U,V,t,β,δ,m,uS,ud,vS,vd,Qm,QuS,Qud,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,2.5,1.0,1.0,100.0,0.0,0.28670613162923186,0.3624869706707611,-9.245377213806805e-9,-5.944408428695443e-8,-1.6212550253742503e-9,0.97895393235925,0.3976767605344822,6.30972630004652e-5,0.0006558930853678958,9.113597585599522e-6,true,204,-1.5240523232779934,0.05,0.05,3.215230667,0.0
128,2.5,1.1,1.0,100.0,0.0,0.29149075971095983,0.36035623190042276,-6.5916806006594e-9,-5.3233619995669475e-8,-9.849287044381419e-10,0.974978877854249,0.4100378682557748,4.20734576767109e-5,0.0005371212013082414,5.2362389193790585e-6,true,203,-1.5110000284999932,0.05,0.05,3.20155464,0.0
128,2.5,1.2,1.0,100.0,0.0,0.29625927205716895,0.358151740757297,-5.0448038732553435e-9,-5.0199446615360584e-8,-6.534600338490392e-10,0.9974983325964359,0.433320637564405,3.0342822843331278e-5,0.0004671476282782999,3.307906773806688e-6,true,201,-1.4981038693060804,0.05,0.05,3.16947778,0.0
128,2.5,1.3,1.0,100.0,0.0,0.301024350815565,0.3558653010158984,-3.559654019463787e-9,-4.3819775719812724e-8,-3.9996170183259637e-10,0.986018233825714,0.44287572368406636,2.0303017947243875e-5,0.00037882499933804937,1.938731710854166e-6,true,200,-1.4853684108398577,0.05,0.05,3.154949415,0.0
128,2.5,1.4,1.0,100.0,0.0,0.30576858933287077,0.35350295358881734,-2.500606218619472e-9,-3.780240662445503e-8,-2.4577247372596653e-10,0.9707051432163993,0.45045410693966836,1.3596638983476767e-5,0.0003054849944639775,1.1460811482996766e-6,true,199,-1.4727980032471972,0.05,0.05,3.141338583,0.0
128,2.5,1.5,1.0,100.0,0.0,0.31047599857158514,0.351071171483771,-1.905288489478796e-9,-3.46055233937067e-8,-1.667399791449584e-10,0.9836028451182255,0.4703049271684856,9.920120093084799e-6,0.0002628103019060728,7.50907262485277e-7,true,197,-1.4603967798024808,0.05,0.05,3.111610572,0.0
128,2.5,1.6,1.0,100.0,0.0,0.3151487573223922,0.348567673133148,-1.4543908820330298e-9,-3.145430429265028e-8,-1.1430723203811167e-10,0.9940926382596693,0.4892253947316183,7.279196492161258e-6,0.00022555267899744,4.988017402993611e-7,true,195,-1.4481686373623617,0.05,0.05,3.091882367,0.0
128,2.5,1.7,1.0,100.0,0.0,0.3197879622833285,0.3459905747674205,-1.0179431846057962e-9,-2.639440348634807e-8,-7.170902693758027e-11,0.9684100463479561,0.4908985887238648,4.91403700857443e-6,0.0001794601539584755,3.0408026959547224e-7,true,194,-1.4361171917266993,0.05,0.05,3.066223774,0.0
128,2.5,1.8,1.0,100.0,0.0,0.32437018569584447,0.3433522259486049,-7.796532273951495e-10,-2.3661519924447026e-8,-5.011255539899683e-11,0.9734658875106827,0.5066261261140736,3.6407002249681613e-6,0.00015310565614719675,2.070022866027969e-7,true,192,-1.424245738260232,0.05,0.05,3.033645211,0.0
128,2.5,1.9,1.0,100.0,0.0,0.32889726275489767,0.34065155535821956,-5.993087588695989e-10,-2.1101186159940994e-8,-3.541336501249103e-11,0.9765972152182556,0.5210266435429212,2.7140578986777855e-6,0.00013037531997612303,1.428040132202567e-7,true,190,-1.4125572610837702,0.05,0.05,2.999706273,0.0
